Frequency (Hz)	Level (dB)
261.090088	-67.233170
261.763000	-67.487534
262.435913	-67.820480
263.108826	-68.019600
263.781738	-68.177849
264.454651	-68.356560
265.127563	-68.658943
265.800476	-68.922241
266.473389	-68.992630
267.146301	-69.090919
267.819214	-69.449814
268.492126	-69.476570
269.165039	-69.739876
269.837952	-69.962723
270.510864	-70.145607
271.183777	-70.329842
271.856689	-70.503815
272.529602	-70.556862
273.202515	-70.700294
273.875427	-70.802948
274.548340	-71.009338
275.221252	-71.278221
275.894165	-71.227997
276.567078	-71.290642
277.239990	-71.645683
277.912903	-71.909721
278.585815	-71.835884
279.258728	-71.855667
279.931641	-72.206978
280.604553	-72.360550
281.277466	-72.286041
281.950378	-72.383392
282.623291	-72.708206
283.296204	-72.965691
283.969116	-72.870461
284.642029	-72.859802
285.314941	-73.160797
285.987854	-73.398140
286.660767	-73.331848
287.333679	-73.419746
288.006592	-73.468315
288.679504	-73.630455
289.352417	-73.734825
290.025330	-73.748253
290.698242	-73.768059
291.371155	-73.947784
292.044067	-74.226280
292.716980	-74.359543
293.389893	-74.049232
294.062805	-74.023346
294.735718	-74.535393
295.408630	-74.679779
296.081543	-74.400589
296.754456	-74.344193
297.427368	-74.804733
298.100281	-74.672005
298.773193	-74.628151
299.446106	-74.724243
300.119019	-74.801018
300.791931	-74.566841
301.464844	-74.722237
302.137756	-74.886734
302.810669	-74.839027
303.483582	-74.609863
304.156494	-74.635803
304.829407	-74.825867
305.502319	-74.766899
306.175232	-74.829872
306.848145	-74.684761
307.521057	-74.677368
308.193970	-74.732887
308.866882	-74.775696
309.539795	-74.938591
310.212708	-75.088623
310.885620	-74.788971
311.558533	-74.659210
312.231445	-75.092026
312.904358	-75.103218
313.577271	-75.122910
314.250183	-75.451523
314.923096	-75.132347
315.596008	-74.938477
316.268921	-75.393501
316.941833	-75.375748
317.614746	-75.491478
318.287659	-75.806358
318.960571	-75.647942
319.633484	-75.527573
320.306396	-75.555855
320.979309	-75.460342
321.652222	-75.715775
322.325134	-76.097878
322.998047	-76.069504
323.670959	-76.176910
324.343872	-75.918900
325.016785	-75.878502
325.689697	-75.969742
326.362610	-75.750900
327.035522	-76.298660
327.708435	-76.436417
328.381348	-76.256447
329.054260	-76.502655
329.727173	-76.296616
330.400085	-76.274040
331.072998	-76.063057
331.745911	-76.087471
332.418823	-76.443016
333.091736	-76.432373
333.764648	-76.592598
334.437561	-76.964722
335.110474	-76.628090
335.783386	-76.830688
336.456299	-76.473457
337.129211	-76.331558
337.802124	-76.575539
338.475037	-76.275070
339.147949	-76.752983
339.820862	-76.732582
340.493774	-76.708153
341.166687	-77.299103
341.839600	-77.127632
342.512512	-77.188660
343.185425	-76.948036
343.858337	-76.899384
344.531250	-76.648094
345.204163	-76.455879
345.877075	-76.669197
346.549988	-76.442490
347.222900	-76.718224
347.895813	-76.582336
348.568726	-76.971359
349.241638	-77.186890
349.914551	-77.365547
350.587463	-77.589478
351.260376	-77.231468
351.933289	-77.622124
352.606201	-77.368996
353.279114	-77.485878
353.952026	-77.116722
354.624939	-76.985687
355.297852	-76.822784
355.970764	-76.477539
356.643677	-76.610863
357.316589	-76.309189
357.989502	-76.383415
358.662415	-76.278900
359.335327	-76.367828
360.008240	-76.460800
360.681152	-76.440941
361.354065	-76.471054
362.026978	-76.668610
362.699890	-76.574623
363.372803	-77.049271
364.045715	-76.910156
364.718628	-77.283211
365.391541	-77.343826
366.064453	-77.518570
366.737366	-77.534027
367.410278	-77.874054
368.083191	-77.878334
368.756104	-77.945557
369.429016	-78.287682
370.101929	-77.982094
370.774841	-78.372841
371.447754	-77.975403
372.120667	-78.226440
372.793579	-77.965614
373.466492	-78.414841
374.139404	-77.992310
374.812317	-78.129822
375.485229	-77.691841
376.158142	-77.905136
376.831055	-77.697479
377.503967	-77.702530
378.176880	-77.316658
378.849792	-77.159531
379.522705	-76.962181
380.195618	-76.887352
380.868530	-76.594391
381.541443	-76.353813
382.214355	-76.355072
382.887268	-76.186440
383.560181	-76.160896
384.233093	-75.852539
384.906006	-75.983528
385.578918	-75.783585
386.251831	-75.841995
386.924744	-75.735786
387.597656	-75.848473
388.270569	-75.904335
388.943481	-76.047089
389.616394	-76.256943
390.289307	-76.419952
390.962219	-76.720329
391.635132	-76.649536
392.308044	-76.985382
392.980957	-76.869476
393.653870	-76.925514
394.326782	-76.578026
394.999695	-76.675972
395.672607	-76.308952
396.345520	-76.282318
397.018433	-75.910370
397.691345	-75.630577
398.364258	-75.803879
399.037170	-75.607368
399.710083	-75.946381
400.382996	-75.960144
401.055908	-76.214691
401.728821	-76.384476
402.401733	-76.344315
403.074646	-76.497368
403.747559	-76.261581
404.420471	-76.188316
405.093384	-75.938835
405.766296	-75.630753
406.439209	-75.750450
407.112122	-75.561005
407.785034	-75.893471
408.457947	-75.786011
409.130859	-76.090118
409.803772	-76.361465
410.476685	-76.134438
411.149597	-76.266296
411.822510	-75.734360
412.495422	-75.473099
413.168335	-75.682816
413.841248	-75.375275
414.514160	-75.630440
415.187073	-75.735802
415.859985	-75.871078
416.532898	-75.949120
417.205811	-75.696457
417.878723	-75.531654
418.551636	-75.466255
419.224548	-75.223343
419.897461	-75.444931
420.570374	-75.456345
421.243286	-75.613297
421.916199	-75.796997
422.589111	-75.252609
423.262024	-75.258209
423.934937	-75.204483
424.607849	-74.920517
425.280762	-75.210930
425.953674	-75.351021
426.626587	-75.116997
427.299500	-75.219193
427.972412	-74.923332
428.645325	-74.591957
429.318237	-74.844536
429.991150	-74.788902
430.664062	-74.912384
431.336975	-74.987244
432.009888	-74.571915
432.682800	-74.165123
433.355713	-74.503723
434.028625	-74.327583
434.701538	-74.258263
435.374451	-74.472847
436.047363	-74.151886
436.720276	-73.866104
437.393188	-73.935570
438.066101	-73.926315
438.739014	-73.999672
439.411926	-74.049255
440.084839	-73.653168
440.757751	-73.377945
441.430664	-73.651466
442.103577	-73.625488
442.776489	-73.444794
443.449402	-73.437256
444.122314	-73.247978
444.795227	-72.962509
445.468140	-73.221748
446.141052	-73.259193
446.813965	-72.916626
447.486877	-72.553177
448.159790	-72.679398
448.832703	-72.724159
449.505615	-72.585098
450.178528	-72.523705
450.851440	-72.371346
451.524353	-72.185204
452.197266	-72.256683
452.870178	-72.275063
453.543091	-71.934006
454.216003	-71.679573
454.888916	-71.904755
455.561829	-71.885178
456.234741	-71.558434
456.907654	-71.303406
457.580566	-71.400986
458.253479	-71.366508
458.926392	-71.139877
459.599304	-70.943253
460.272217	-70.998688
460.945129	-70.862267
461.618042	-70.683205
462.290955	-70.585747
462.963867	-70.479599
463.636780	-70.409760
464.309692	-70.235786
464.982605	-70.133125
465.655518	-70.036743
466.328430	-69.907394
467.001343	-69.753235
467.674255	-69.610863
468.347168	-69.519997
469.020081	-69.503960
469.692993	-69.234398
470.365906	-69.071243
471.038818	-68.954651
471.711731	-68.967133
472.384644	-68.660248
473.057556	-68.559547
473.730469	-68.610535
474.403381	-68.532104
475.076294	-68.190514
475.749207	-67.992638
476.422119	-68.115944
477.095032	-68.036575
477.767944	-67.752151
478.440857	-67.599045
479.113770	-67.609390
479.786682	-67.469864
480.459595	-67.448631
481.132507	-67.302383
481.805420	-67.086052
482.478333	-66.968414
483.151245	-66.992203
483.824158	-67.005646
484.497070	-66.813583
485.169983	-66.647850
485.842896	-66.738922
486.515808	-66.660797
487.188721	-66.637268
487.861633	-66.718857
488.534546	-66.535118
489.207458	-66.454590
489.880371	-66.622284
490.553284	-66.644974
491.226196	-66.548195
491.899109	-66.653343
492.572021	-66.599396
493.244934	-66.565186
493.917847	-66.756210
494.590759	-66.840698
495.263672	-66.753120
495.936584	-66.828491
496.609497	-66.804222
497.282410	-66.835068
497.955322	-67.099503
498.628235	-67.199867
499.301147	-67.137878
499.974060	-67.295258
500.646973	-67.176849
501.319885	-67.141113
501.992798	-67.347450
502.665710	-67.402016
503.338623	-67.415436
504.011536	-67.525391
504.684448	-67.395432
505.357361	-67.324684
506.030273	-67.377541
506.703186	-67.284218
507.376099	-67.428497
508.049011	-67.498085
508.721924	-67.301270
509.394836	-67.315063
510.067749	-67.082085
510.740662	-66.961258
511.413574	-67.037537
512.086487	-66.891838
512.759399	-66.948608
513.432312	-66.927818
514.105225	-66.657822
514.778137	-66.637215
515.451050	-66.386177
516.123962	-66.239021
516.796875	-66.276505
517.469788	-66.133812
518.142700	-66.231445
518.815613	-66.201332
519.488525	-66.180649
520.161438	-66.238243
520.834351	-66.038513
521.507263	-66.083725
522.180176	-65.981384
522.853088	-65.971214
523.526001	-66.138863
524.198914	-66.144493
524.871826	-66.384499
525.544739	-66.491310
526.217651	-66.695099
526.890564	-66.830109
527.563477	-66.906113
528.236389	-67.102806
528.909302	-67.023453
529.582214	-67.221237
530.255127	-67.192474
530.928040	-67.324745
531.600952	-67.465195
532.273865	-67.570068
532.946777	-67.906067
533.619690	-67.963913
534.292603	-68.405289
534.965515	-68.513252
535.638428	-68.889694
536.311340	-69.070694
536.984253	-69.196693
537.657166	-69.481812
538.330078	-69.403435
539.002991	-69.701881
539.675903	-69.526093
540.348816	-69.700615
541.021729	-69.599655
541.694641	-69.741722
542.367554	-69.707733
543.040466	-69.790367
543.713379	-69.922058
544.386292	-69.908432
545.059204	-70.186943
545.732117	-70.207123
546.405029	-70.508369
547.077942	-70.576790
547.750854	-70.983284
548.423767	-70.975822
549.096680	-71.466911
549.769592	-71.428734
550.442505	-71.913643
551.115417	-72.025200
551.788330	-72.461578
552.461243	-72.413551
553.134155	-72.866066
553.807068	-73.000488
554.479980	-73.353546
555.152893	-73.343620
555.825806	-73.722160
556.498718	-73.698814
557.171631	-73.984360
557.844543	-73.971016
558.517456	-74.150848
559.190369	-74.039688
559.863281	-74.183029
560.536194	-74.204048
561.209106	-74.380257
561.882019	-74.082581
562.554932	-74.289314
563.227844	-73.939674
563.900757	-74.158546
564.573669	-73.819740
565.246582	-74.065529
565.919495	-73.570206
566.592407	-73.791901
567.265320	-73.406235
567.938232	-73.693642
568.611145	-73.280556
569.284058	-73.458336
569.956970	-73.157600
570.629883	-73.365051
571.302795	-73.276352
571.975708	-73.456932
572.648621	-73.513420
573.321533	-73.668053
573.994446	-73.778404
574.667358	-73.968246
575.340271	-74.444054
576.013184	-74.331810
576.686096	-75.020592
577.359009	-74.960854
578.031921	-75.451691
578.704834	-75.314896
579.377747	-75.609947
580.050659	-75.358086
580.723572	-75.196266
581.396484	-75.275223
582.069397	-74.731712
582.742310	-74.875046
583.415222	-74.430031
584.088135	-74.679031
584.761047	-74.445160
585.433960	-74.580353
586.106873	-75.047401
586.779785	-74.963554
587.452698	-75.638031
588.125610	-75.393753
588.798523	-75.799011
589.471436	-75.637428
590.144348	-75.254181
590.817261	-75.323387
591.490173	-74.762833
592.163086	-74.969307
592.835999	-74.817703
593.508911	-74.951553
594.181824	-75.367432
594.854736	-75.333549
595.527649	-75.924728
596.200562	-75.728279
596.873474	-75.610710
597.546387	-75.721046
598.219299	-75.097725
598.892212	-75.308098
599.565125	-75.181236
600.238037	-75.213875
600.910950	-75.950905
601.583862	-75.691566
602.256775	-75.984116
602.929688	-75.920425
603.602600	-75.381516
604.275513	-75.582832
604.948425	-75.244965
605.621338	-75.385162
606.294250	-75.985970
606.967163	-75.748444
607.640076	-76.123146
608.312988	-76.091263
608.985901	-75.428398
609.658813	-75.648849
610.331726	-75.532745
611.004639	-75.524963
611.677551	-76.388618
612.350464	-76.066116
613.023376	-75.858513
613.696289	-75.960327
614.369202	-75.358315
615.042114	-75.432755
615.715027	-76.006874
616.387939	-75.813141
617.060852	-76.074211
617.733765	-76.100258
618.406677	-75.307823
619.079590	-75.564217
619.752502	-75.982262
620.425415	-75.803635
621.098328	-76.073792
621.771240	-76.033791
622.444153	-75.284660
623.117065	-75.572899
623.789978	-76.047081
624.462891	-75.745728
625.135803	-75.846077
625.808716	-75.886787
626.481628	-75.327721
627.154541	-75.395081
627.827454	-76.132439
628.500366	-75.797821
629.173279	-75.484253
629.846191	-75.627380
630.519104	-75.579842
631.192017	-75.468102
631.864929	-75.997169
632.537842	-75.763824
633.210754	-75.058319
633.883667	-75.293442
634.556580	-75.812668
635.229492	-75.540627
635.902405	-75.278831
636.575317	-75.526451
637.248230	-75.419998
637.921143	-75.284920
638.594055	-75.582169
639.266968	-75.542465
639.939880	-74.922562
640.612793	-74.988029
641.285706	-75.789124
641.958618	-75.526558
642.631531	-74.845406
643.304443	-74.972786
643.977356	-75.562553
644.650269	-75.258141
645.323181	-74.618431
645.996094	-74.895187
646.669006	-75.416740
647.341919	-75.053108
648.014832	-74.613350
648.687744	-74.808861
649.360657	-75.204208
650.033569	-74.855568
650.706482	-74.447197
651.379395	-74.764114
652.052307	-75.084007
652.725220	-74.714241
653.398132	-74.283096
654.071045	-74.517540
654.743958	-74.936142
655.416870	-74.579208
656.089783	-74.084663
656.762695	-74.235542
657.435608	-74.792084
658.108521	-74.467690
658.781433	-73.899643
659.454346	-74.075188
660.127258	-74.680435
660.800171	-74.536911
661.473083	-73.900963
662.145996	-73.840492
662.818909	-74.339516
663.491821	-74.396790
664.164734	-74.114746
664.837646	-73.879204
665.510559	-73.790222
666.183472	-74.064507
666.856384	-74.409386
667.529297	-74.114304
668.202209	-73.573227
668.875122	-73.724426
669.548035	-74.400856
670.220947	-74.344597
670.893860	-73.888992
671.566772	-73.738159
672.239685	-73.828133
672.912598	-74.040215
673.585510	-74.512024
674.258423	-74.231651
674.931335	-73.640289
675.604248	-73.858055
676.277161	-74.268532
676.950073	-74.474945
677.622986	-74.545647
678.295898	-74.183685
678.968811	-73.642059
679.641724	-73.945366
680.314636	-74.569519
680.987549	-74.622444
681.660461	-74.483124
682.333374	-74.277069
683.006287	-73.880287
683.679199	-74.089714
684.352112	-74.707008
685.025024	-74.825081
685.697937	-74.832573
686.370850	-74.538528
687.043762	-73.956367
687.716675	-74.001495
688.389587	-74.459488
689.062500	-74.754349
689.735413	-75.122795
690.408325	-74.807755
691.081238	-74.115982
691.754150	-74.097870
692.427063	-73.992996
693.099976	-74.268631
693.772888	-74.937531
694.445801	-74.875740
695.118713	-74.721931
695.791626	-74.387001
696.464539	-73.794838
697.137451	-73.789642
697.810364	-73.903915
698.483276	-74.143677
699.156189	-74.809578
699.829102	-74.728020
700.502014	-74.492332
701.174927	-74.088623
701.847839	-73.440048
702.520752	-73.372932
703.193665	-73.309235
703.866577	-73.504051
704.539490	-74.031937
705.212402	-74.112396
705.885315	-74.346031
706.558228	-74.038727
707.231140	-73.514580
707.904053	-73.181839
708.576965	-72.650047
709.249878	-72.605865
709.922791	-72.582909
710.595703	-72.688087
711.268616	-73.135620
711.941528	-73.188042
712.614441	-73.552910
713.287354	-73.346260
713.960266	-73.069824
714.633179	-72.702637
715.306091	-72.089661
715.979004	-71.825897
716.651917	-71.351120
717.324829	-71.297989
717.997742	-71.163521
718.670654	-71.216255
719.343567	-71.414551
720.016479	-71.530724
720.689392	-71.905502
721.362305	-71.910324
722.035217	-72.088898
722.708130	-71.867668
723.381042	-71.664696
724.053955	-71.319954
724.726868	-70.909126
725.399780	-70.514236
726.072693	-69.957962
726.745605	-69.671608
727.418518	-69.187866
728.091431	-68.976852
728.764343	-68.649467
729.437256	-68.546074
730.110168	-68.283707
730.783081	-68.201790
731.455994	-68.108192
732.128906	-68.108475
732.801819	-68.103279
733.474731	-68.069962
734.147644	-68.107758
734.820557	-68.062660
735.493469	-68.174599
736.166382	-68.088203
736.839294	-68.212303
737.512207	-68.103249
738.185120	-68.240891
738.858032	-68.064728
739.530945	-68.077072
740.203857	-67.919350
740.876770	-67.882713
741.549683	-67.677246
742.222595	-67.670853
742.895508	-67.319260
743.568420	-67.276276
744.241333	-66.950424
744.914246	-66.829048
745.587158	-66.491379
746.260071	-66.303505
746.932983	-65.953217
747.605896	-65.775146
748.278809	-65.386292
748.951721	-65.141594
749.624634	-64.854752
750.297546	-64.629318
750.970459	-64.299110
751.643372	-64.094093
752.316284	-63.829491
752.989197	-63.653244
753.662109	-63.467655
754.335022	-63.251793
755.007935	-63.128582
755.680847	-63.005257
756.353760	-62.949482
757.026672	-62.878941
757.699585	-62.909191
758.372498	-62.854103
759.045410	-62.966022
759.718323	-62.982239
760.391235	-63.103809
761.064148	-63.156681
761.737061	-63.255409
762.409973	-63.326920
763.082886	-63.289421
763.755798	-63.320103
764.428711	-63.179581
765.101624	-63.144077
765.774536	-62.966640
766.447449	-62.868290
767.120361	-62.741322
767.793274	-62.673847
768.466187	-62.715866
769.139099	-62.739567
769.812012	-62.936302
770.484924	-63.041862
771.157837	-63.315483
771.830750	-63.516445
772.503662	-63.685944
773.176575	-63.887493
773.849487	-63.885891
774.522400	-63.969631
775.195312	-63.906860
775.868225	-63.926815
776.541138	-64.007805
777.214050	-64.130539
777.886963	-64.446373
778.559875	-64.697746
779.232788	-65.025749
779.905701	-65.334946
780.578613	-65.437790
781.251526	-65.584717
781.924438	-65.510178
782.597351	-65.550240
783.270264	-65.674126
783.943176	-65.767281
784.616089	-66.130577
785.289001	-66.415039
785.961914	-66.710266
786.634827	-66.983948
787.307739	-66.939064
787.980652	-66.984818
788.653564	-66.944786
789.326477	-66.966148
789.999390	-67.306267
790.672302	-67.552116
791.345215	-67.910347
792.018127	-68.236366
792.691040	-68.105728
793.363953	-68.084801
794.036865	-68.060829
794.709778	-68.081215
795.382690	-68.486946
796.055603	-68.807968
796.728516	-69.013542
797.401428	-69.197708
798.074341	-68.981766
798.747253	-68.880867
799.420166	-69.102318
800.093079	-69.273544
800.765991	-69.696869
801.438904	-69.990822
802.111816	-69.816040
802.784729	-69.700287
803.457642	-69.726448
804.130554	-69.806671
804.803467	-70.292000
805.476379	-70.629906
806.149292	-70.419998
806.822205	-70.320358
807.495117	-70.330765
808.168030	-70.402786
808.840942	-70.895111
809.513855	-71.242455
810.186768	-70.964134
810.859680	-70.793312
811.532593	-70.894295
812.205505	-71.097473
812.878418	-71.469627
813.551331	-71.651161
814.224243	-71.313560
814.897156	-71.108498
815.570068	-71.460648
816.242981	-71.915268
816.915894	-71.919266
817.588806	-71.791740
818.261719	-71.655373
818.934631	-71.676880
819.607544	-72.171097
820.280457	-72.465508
820.953369	-72.083664
821.626282	-71.767258
822.299194	-72.224266
822.972107	-72.573807
823.645020	-72.492867
824.317932	-72.262871
824.990845	-72.295990
825.663757	-72.543541
826.336670	-72.807037
827.009583	-72.730186
827.682495	-72.456047
828.355408	-72.475311
829.028320	-72.959831
829.701233	-73.159470
830.374146	-72.720039
831.047058	-72.538551
831.719971	-73.056442
832.392883	-73.418968
833.065796	-72.867722
833.738708	-72.577286
834.411621	-73.177177
835.084534	-73.600960
835.757446	-73.036530
836.430359	-72.730042
837.103271	-73.255974
837.776184	-73.710854
838.449097	-73.131393
839.122009	-72.863358
839.794922	-73.352097
840.467834	-73.767014
841.140747	-73.265129
841.813660	-73.007057
842.486572	-73.545197
843.159485	-73.823860
843.832397	-73.310341
844.505310	-73.167137
845.178223	-73.671089
845.851135	-73.767784
846.524048	-73.365883
847.196960	-73.500694
847.869873	-73.717911
848.542786	-73.549599
849.215698	-73.509178
849.888611	-73.924225
850.561523	-73.745667
851.234436	-73.314445
851.907349	-73.819237
852.580261	-74.232079
853.253174	-73.726677
