Frequency (Hz)	Level (dB)
251.953125	-38.879158
252.441406	-39.676910
252.929688	-36.303967
253.417969	-35.282772
253.906250	-39.830898
254.394531	-36.640434
254.882812	-33.854500
255.371094	-36.871124
255.859375	-39.008167
256.347656	-39.669937
256.835938	-41.294033
257.324219	-38.743080
257.812500	-38.466858
258.300781	-38.023861
258.789062	-38.881237
259.277344	-37.659340
259.765625	-38.756001
260.253906	-38.082348
260.742188	-37.033035
261.230469	-36.874592
261.718750	-36.814182
262.207031	-36.344265
262.695312	-37.012470
263.183594	-39.174747
263.671875	-39.241936
264.160156	-38.892273
264.648438	-38.893227
265.136719	-37.169292
265.625000	-37.952129
266.113281	-35.441566
266.601562	-35.559494
267.089844	-34.702461
267.578125	-34.311005
268.066406	-34.445713
268.554688	-36.919834
269.042969	-38.426437
269.531250	-37.465179
270.019531	-37.214134
270.507812	-38.014008
270.996094	-35.805798
271.484375	-40.507881
271.972656	-37.336105
272.460938	-38.864296
272.949219	-36.484627
273.437500	-42.444851
273.925781	-38.244770
274.414062	-35.339115
274.902344	-37.709148
275.390625	-40.636215
275.878906	-37.994835
276.367188	-37.372227
276.855469	-38.757332
277.343750	-36.351482
277.832031	-37.560013
278.320312	-38.338997
278.808594	-39.594254
279.296875	-38.361225
279.785156	-34.201843
280.273438	-37.627541
280.761719	-42.482944
281.250000	-38.633076
281.738281	-34.820438
282.226562	-37.053032
282.714844	-35.711025
283.203125	-37.820274
283.691406	-39.435955
284.179688	-40.840866
284.667969	-40.079121
285.156250	-38.586788
285.644531	-41.892956
286.132812	-36.642159
286.621094	-39.055252
287.109375	-37.603451
287.597656	-39.450684
288.085938	-37.498444
288.574219	-37.975849
289.062500	-39.711784
289.550781	-40.113956
290.039062	-40.137772
290.527344	-40.245197
291.015625	-38.806190
291.503906	-39.694225
291.992188	-36.250317
292.480469	-38.672756
292.968750	-37.381012
293.457031	-40.105366
293.945312	-38.942898
294.433594	-39.498791
294.921875	-38.497375
295.410156	-35.880352
295.898438	-36.809898
296.386719	-39.270119
296.875000	-36.090153
297.363281	-40.302956
297.851562	-35.126331
298.339844	-38.720200
298.828125	-40.040962
299.316406	-39.114388
299.804688	-36.746147
300.292969	-39.497532
300.781250	-38.917980
301.269531	-38.117905
301.757812	-38.643318
302.246094	-36.991489
302.734375	-36.847588
303.222656	-35.653618
303.710938	-38.551964
304.199219	-37.709095
304.687500	-37.146080
305.175781	-37.978138
305.664062	-37.772114
306.152344	-38.824696
306.640625	-40.912090
307.128906	-41.258213
307.617188	-38.449081
308.105469	-37.318932
308.593750	-41.233738
309.082031	-41.953487
309.570312	-37.746059
310.058594	-40.890255
310.546875	-38.619408
311.035156	-39.393559
311.523438	-41.373981
312.011719	-38.633392
312.500000	-39.411751
312.988281	-38.593746
313.476562	-38.704891
313.964844	-40.161167
314.453125	-41.201927
314.941406	-38.997189
315.429688	-41.604706
315.917969	-37.979080
316.406250	-39.707714
316.894531	-37.918274
317.382812	-41.869595
317.871094	-39.645447
318.359375	-38.730118
318.847656	-38.149914
319.335938	-37.985680
319.824219	-41.105179
320.312500	-38.444298
320.800781	-37.918129
321.289062	-35.909813
321.777344	-37.061779
322.265625	-39.296349
322.753906	-39.734612
323.242188	-43.470177
323.730469	-40.896656
324.218750	-40.790104
324.707031	-41.595768
325.195312	-38.822685
325.683594	-39.281109
326.171875	-35.217850
326.660156	-40.194462
327.148438	-40.874149
327.636719	-40.722588
328.125000	-39.135059
328.613281	-37.792091
329.101562	-39.800232
329.589844	-36.895004
330.078125	-40.323788
330.566406	-38.364544
331.054688	-37.307556
331.542969	-38.226292
