Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
110	1746.41	0.034035	172.00	0.006082	0.074802	-0.022026	0.001106
111	3042.23	0.004921	24.87	0.000505	0.020706	0.000548	-0.008704
112	3046.30	0.003458	17.48	0.000354	0.003843	-0.012828	0.013226
113	3047.28	0.009135	46.16	0.000935	-0.024934	-0.009146	0.015169
114	3050.41	0.007953	40.19	0.000814	-0.025134	-0.001270	-0.013427
115	3065.85	0.003304	16.70	0.000336	-0.005345	0.015988	-0.007222
116	3113.95	0.002065	10.43	0.000207	-0.014044	0.003113	-0.000015
117	3116.94	0.002583	13.06	0.000259	0.001097	-0.014734	-0.006353
118	3118.25	0.003132	15.83	0.000313	-0.001453	0.015357	0.008691
119	3118.73	0.002258	11.41	0.000226	-0.011754	-0.003078	0.008850
120	3126.10	0.000334	1.69	0.000033	0.000873	-0.005169	-0.002429
121	3128.10	0.000483	2.44	0.000048	-0.004931	-0.004133	-0.002601
122	3145.15	0.001760	8.89	0.000175	0.009756	0.006222	-0.006381
123	3147.76	0.002195	11.09	0.000218	0.014661	0.000644	-0.001479
124	3174.78	0.000480	2.43	0.000047	-0.006262	-0.002641	-0.001013
125	3188.56	0.002502	12.64	0.000245	-0.013520	0.005401	0.005737
126	3203.32	0.000827	4.18	0.000081	0.006917	-0.004188	-0.003902
127	3213.17	0.001225	6.19	0.000119	-0.007849	-0.007574	-0.000018
128	3632.53	0.013744	69.46	0.001181	-0.031459	-0.005422	0.012717
