Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
40	568.28	0.000963	4.87	0.000529	-0.016236	-0.010921	-0.012080
41	581.61	0.000241	1.22	0.000129	0.011197	0.001832	-0.000720
42	600.24	0.000638	3.22	0.000332	0.015241	-0.002714	-0.009596
43	609.36	0.000096	0.48	0.000049	-0.002532	0.005994	-0.002588
44	612.57	0.000824	4.16	0.000420	-0.000996	0.017966	0.009800
45	654.75	0.000207	1.05	0.000099	0.000498	0.005890	-0.007995
46	692.91	0.000552	2.79	0.000249	0.007888	-0.002067	0.013495
47	697.98	0.001790	9.05	0.000801	-0.020784	-0.013412	-0.013736
48	726.32	0.007019	35.47	0.003016	-0.005178	-0.027160	0.047447
49	761.33	0.003807	19.24	0.001561	0.002834	0.028871	0.026816
50	777.32	0.001521	7.69	0.000611	0.003484	-0.014932	0.019383
51	793.13	0.000303	1.53	0.000119	-0.007093	0.008291	0.000490
52	802.68	0.001769	8.94	0.000688	-0.011064	0.018675	-0.014724
53	806.79	0.001561	7.89	0.000604	-0.003556	0.015643	-0.018618
54	816.68	0.001331	6.72	0.000508	0.017101	-0.012692	-0.007411
55	848.56	0.003807	19.24	0.001400	-0.007518	0.031542	0.018670
56	857.59	0.002453	12.40	0.000893	0.007807	-0.005299	0.028349
57	877.46	0.004100	20.72	0.001458	0.029487	0.024257	0.000594
58	904.06	0.000466	2.36	0.000161	0.000110	0.010309	-0.007397
59	967.44	0.000191	0.96	0.000062	0.000025	0.000548	-0.007825
60	983.25	0.000329	1.66	0.000104	0.005997	-0.000782	0.008239
61	985.75	0.003222	16.28	0.001020	0.027035	0.000445	-0.016998
62	1000.61	0.003040	15.36	0.000948	0.028937	0.008720	-0.005904
63	1018.76	0.000015	0.08	0.000005	0.000484	-0.002008	0.000615
64	1036.91	0.011140	56.30	0.003353	-0.030540	0.017307	-0.046048
65	1049.64	0.000646	3.27	0.000192	-0.007819	0.006837	0.009177
66	1055.63	0.000180	0.91	0.000053	0.006908	-0.002300	0.000565
67	1075.35	0.000343	1.74	0.000100	0.003218	-0.009082	-0.002610
68	1080.52	0.004466	22.57	0.001290	0.018887	-0.014369	0.026957
69	1097.74	0.000522	2.64	0.000149	0.005305	-0.007215	-0.008265
70	1125.20	0.028514	144.10	0.007908	-0.083795	-0.028747	0.007751
71	1139.65	0.024522	123.92	0.006715	0.023648	-0.043529	0.065274
72	1155.99	0.016511	83.44	0.004457	0.053118	0.022594	-0.033542
73	1168.79	0.010134	51.21	0.002706	0.048797	0.016742	-0.006665
74	1176.14	0.000507	2.56	0.000134	0.003278	0.009909	0.005053
75	1177.36	0.000250	1.26	0.000066	-0.000550	-0.005335	-0.006113
76	1187.20	0.002162	10.93	0.000568	0.019676	0.013327	-0.001885
77	1199.61	0.002080	10.51	0.000541	0.013884	0.014022	0.012316
78	1213.45	0.022413	113.27	0.005764	-0.028118	0.024530	-0.066118
79	1216.54	0.016179	81.76	0.004150	-0.057722	-0.024505	0.014759
80	1237.61	0.048230	243.73	0.012161	0.048885	-0.022899	0.096161
81	1276.19	0.000220	1.11	0.000054	0.004543	0.003862	-0.004268
82	1297.93	0.038955	196.86	0.009366	0.081344	0.035798	-0.038309
83	1316.72	0.000253	1.28	0.000060	-0.003071	0.001348	0.006972
84	1326.00	0.012377	62.55	0.002913	0.041079	0.024234	-0.025259
85	1339.94	0.023634	119.44	0.005504	-0.068033	-0.007441	0.028644
86	1346.67	0.005979	30.22	0.001386	-0.031265	-0.019021	0.006802
87	1377.96	0.003939	19.91	0.000892	0.029232	0.002510	0.005587
88	1388.89	0.045598	230.43	0.010245	0.080062	0.057542	0.022893
89	1421.47	0.013003	65.71	0.002855	-0.016933	0.030359	-0.040575
90	1425.28	0.000512	2.59	0.000112	-0.003535	-0.009381	0.003409
91	1462.15	0.003371	17.04	0.000720	-0.004766	0.007319	-0.025363
92	1464.49	0.002918	14.75	0.000622	-0.008903	0.017495	0.015376
93	1469.87	0.010447	52.80	0.002218	-0.001745	-0.025552	0.039523
94	1475.18	0.009040	45.69	0.001912	0.035429	-0.010543	0.023367
95	1478.76	0.000966	4.88	0.000204	0.003867	0.012014	-0.006673
96	1484.77	0.001285	6.49	0.000270	0.002048	0.013190	0.009587
97	1484.85	0.000503	2.54	0.000106	0.001052	-0.007413	-0.007051
98	1486.71	0.002888	14.59	0.000606	0.018557	0.015092	-0.005833
99	1487.72	0.004525	22.87	0.000949	0.026804	0.014764	-0.003586
100	1495.25	0.004305	21.76	0.000899	0.021487	-0.004803	0.020341
101	1496.65	0.003262	16.49	0.000680	-0.011892	-0.013701	0.018736
102	1501.83	0.060641	306.45	0.012600	-0.039602	0.055556	-0.089138
103	1514.41	0.005953	30.08	0.001227	-0.009295	0.005100	-0.033379
104	1584.33	0.059912	302.77	0.011801	0.066802	-0.082181	0.024177
105	1618.20	0.001896	9.58	0.000366	0.017036	-0.005293	0.006886
106	1645.29	0.043218	218.41	0.008197	-0.046828	0.041093	-0.065694
107	1647.60	0.002178	11.01	0.000413	-0.004519	0.016348	0.011173
108	1673.78	0.022132	111.84	0.004126	-0.049093	-0.034656	0.022696
109	1735.35	0.074362	375.80	0.013372	-0.051477	0.050588	-0.090351
110	1740.07	0.039685	200.55	0.007117	-0.072056	0.007711	0.043193
111	3040.54	0.003782	19.11	0.000388	0.016447	0.008027	-0.007294
112	3043.17	0.008547	43.19	0.000876	-0.026955	-0.009499	0.007722
113	3047.25	0.007967	40.26	0.000816	-0.006074	-0.017682	0.021594
114	3052.45	0.007194	36.36	0.000736	0.020218	0.000601	0.018066
115	3105.40	0.002153	10.88	0.000216	0.009433	0.010478	-0.004193
116	3109.33	0.001840	9.30	0.000185	-0.012877	-0.003969	-0.001757
117	3114.53	0.003305	16.70	0.000331	-0.000626	-0.013947	-0.011672
118	3121.08	0.003479	17.58	0.000348	0.001750	-0.016559	-0.008403
119	3131.50	0.000514	2.60	0.000051	0.006738	-0.002303	-0.000739
120	3134.88	0.000574	2.90	0.000057	0.003006	-0.001094	-0.006847
121	3150.66	0.005509	27.84	0.000546	-0.018213	-0.007336	-0.012653
122	3154.62	0.001101	5.56	0.000109	-0.007459	0.003203	0.006558
123	3166.56	0.000782	3.95	0.000077	-0.004848	-0.003328	0.006519
124	3175.52	0.001163	5.88	0.000114	-0.006001	-0.007651	-0.004438
125	3192.77	0.001520	7.68	0.000149	-0.005648	0.008115	0.007128
126	3198.56	0.001088	5.50	0.000106	0.006109	0.007688	0.003113
127	3216.79	0.000433	2.19	0.000042	0.001138	0.004330	0.004686
128	3625.24	0.013007	65.73	0.001120	0.030712	0.007883	-0.010691
