r,O1-O1_75C,O1-O1_25C,r,O1-O1_MD
11.93999,2.11124,1.03793,,
11.96999,2.11338,1.04066,,
11.99999,2.12048,1.04041,,
12.02999,2.13413,1.03811,,
12.05999,2.15202,1.03725,,
12.08999,2.16495,1.03907,,
12.11999,2.16275,1.04503,,
12.14999,2.14679,1.04818,,
12.17999,2.12038,1.04723,,
12.20999,2.09567,1.04692,,
12.23999,2.0806,1.0503,,
12.26999,2.0767,1.05427,,
12.29999,2.07458,1.06004,,
12.32999,2.077,1.05994,,
12.35999,2.07457,1.06053,,
12.38999,2.07223,1.06168,,
12.41998,2.06399,1.0654,,
12.44998,2.04993,1.06117,,
12.47998,2.03052,1.05666,,
12.50998,2.01112,1.05378,,
12.53998,1.99168,1.05203,,
12.56998,1.9818,1.04996,,
12.59998,1.97908,1.04265,,
12.62998,1.98654,1.03381,,
12.65998,1.99813,1.02014,,
12.68998,2.00429,1.00748,,
12.71998,2.00411,1.00099,,
12.74998,2.00286,0.99802,,
12.77998,2.00008,0.99306,,
12.80998,1.99932,0.98785,,
12.83998,1.99631,0.98253,,
12.86998,1.99086,0.98054,,
12.89998,1.98611,0.97938,,
12.92998,1.98002,0.97777,,
12.95998,1.97547,0.97838,,
12.98998,1.97147,0.97426,,
13.01998,1.97821,0.96757,,
13.04998,1.99436,0.9643,,
13.07998,2.01213,0.96175,,
13.10998,2.02264,0.96712,,
13.13998,2.02493,0.97262,,
13.16998,2.01617,0.97986,,
13.19998,2.01036,0.98754,,
13.22998,2.00412,0.99585,,
13.25998,1.99165,1.00616,,
13.28998,1.97186,1.01868,,
13.31998,1.9434,1.029,,
13.34998,1.91119,1.03525,,
13.37998,1.88761,1.03849,,
13.40998,1.8809,1.04159,,
13.43998,1.8933,1.04464,,
13.46998,1.91477,1.04618,,
13.49998,1.9394,1.04831,,
13.52997,1.96215,1.04874,,
13.55997,1.97876,1.04819,,
13.58997,1.98675,1.04746,,
13.61997,1.99406,1.04355,,
13.64997,1.99844,1.03819,,
13.67997,2.00778,1.0348,,
13.70997,2.01477,1.03176,,
13.73997,2.01594,1.0285,,
13.76997,2.01276,1.02381,,
13.79997,2.01075,1.01814,,
13.82997,2.00593,1.01316,,
13.85997,2.00281,1.00914,,
13.88997,2.00115,1.00459,,
13.91997,2.00383,1.00433,,
13.94997,2.00087,1.00621,,
13.97997,1.9986,1.01213,,
14.00997,1.9931,1.01892,,
14.03997,1.99561,1.02657,,
14.06997,1.99396,1.0292,,
14.09997,1.98682,1.02621,,
14.12997,1.97022,1.02002,,
14.15997,1.9543,1.01331,,
14.18997,1.93848,1.00804,,
14.21997,1.92617,1.00383,,
14.24997,1.92004,0.99495,,
14.27997,1.91582,0.98868,,
14.30997,1.91644,0.98147,,
14.33997,1.92337,0.97551,,
14.36997,1.92983,0.97418,,
14.39997,1.93754,0.97559,,
14.42997,1.94556,0.97517,,
14.45997,1.9556,0.97613,,
14.48997,1.96734,0.97906,,
14.51997,1.97356,0.98427,,
14.54997,1.97457,0.99166,,
14.57997,1.97473,0.99822,,
14.60997,1.97495,1.00203,,
14.63997,1.97468,1.00633,,
14.66996,1.96666,1.00456,,
14.69996,1.9521,1.00478,,
14.72996,1.92879,1.00287,,
14.75996,1.90149,1.00295,,
14.78996,1.87478,,,
14.81996,1.85981,,,
14.84996,1.85476,,,
14.87996,1.85941,,,
