r	D(r)_75C	D(r)_25C
5.89	-0.00626	0.07677
5.9	0.00675	0.08412
5.91	0.01979	0.09032
5.92	0.03276	0.09539
5.93	0.04557	0.09935
5.94	0.05812	0.10226
5.95	0.07031	0.10416
5.96	0.08206	0.10514
5.97	0.09327	0.1053
5.98	0.10386	0.10472
5.99	0.11378	0.10351
6	0.12295	0.10178
6.01	0.13134	0.09962
6.02	0.13892	0.09712
6.03	0.14568	0.09438
6.04	0.15162	0.09146
6.05	0.15676	0.08842
6.06	0.16113	0.08529
6.07	0.16478	0.0821
6.08	0.16776	0.07885
6.09	0.17015	0.07553
6.1	0.17201	0.07212
6.11	0.17344	0.06859
6.12	0.17451	0.06489
6.13	0.1753	0.06098
6.14	0.17591	0.05683
6.15	0.17639	0.05238
6.16	0.17682	0.04763
6.17	0.17726	0.04253
6.18	0.17775	0.03711
6.19	0.17833	0.03136
6.2	0.17902	0.02532
6.21	0.17983	0.01904
6.22	0.18075	0.01259
6.23	0.18177	0.00604
6.24	0.18286	-5.07882E-4
6.25	0.18399	-0.00696
6.26	0.18512	-0.0132
6.27	0.18621	-0.01912
6.28	0.18721	-0.02462
6.29	0.18808	-0.02959
6.3	0.18877	-0.03396
6.31	0.18924	-0.03764
6.32	0.18948	-0.04057
6.33	0.18946	-0.04272
6.34	0.18917	-0.04406
6.35	0.18862	-0.04459
6.36	0.1878	-0.04432
6.37	0.18676	-0.04328
6.38	0.1855	-0.04152
6.39	0.18409	-0.03908
6.4	0.18255	-0.03603
6.41	0.18094	-0.03242
6.42	0.17931	-0.02831
6.43	0.1777	-0.02377
6.44	0.17617	-0.01884
6.45	0.17474	-0.01357
6.46	0.17345	-0.00798
6.47	0.17233	-0.00212
6.48	0.17136	0.00402
6.49	0.17056	0.01041
6.5	0.16989	0.01705
6.51	0.16932	0.02393
6.52	0.16881	0.03103
6.53	0.16828	0.03835
6.54	0.16767	0.04584
6.55	0.16689	0.05346
6.56	0.16585	0.06115
6.57	0.16446	0.06882
6.58	0.16261	0.07636
6.59	0.16022	0.08366
6.6	0.15719	0.09055
6.61	0.15343	0.09689
6.62	0.14888	0.10249
6.63	0.14347	0.10716
6.64	0.13714	0.11073
6.65	0.12987	0.113
6.66	0.12164	0.11381
6.67	0.11244	0.11302
6.68	0.1023	0.11049
6.69	0.09124	0.10615
6.7	0.07932	0.09995
6.71	0.06659	0.09188
6.72	0.05313	0.08198
6.73	0.03902	0.07035
6.74	0.02436	0.05713
6.75	0.00925	0.04249
6.76	-0.0062	0.02666
6.77	-0.02188	0.00989
6.78	-0.03768	-0.00752
6.79	-0.0535	-0.02529
6.8	-0.06922	-0.04311
6.81	-0.08474	-0.06067
6.82	-0.09995	-0.07768
6.83	-0.11474	-0.09386
6.84	-0.12904	-0.10899
6.85	-0.14274	-0.12286
6.86	-0.15575	-0.13531
6.87	-0.168	-0.14624
6.88	-0.1794	-0.15559
6.89	-0.18988	-0.16337
6.9	-0.19937	-0.16961
6.91	-0.20781	-0.1744
6.92	-0.21514	-0.17788
6.93	-0.2213	-0.18022
6.94	-0.22625	-0.18159
6.95	-0.22996	-0.1822
6.96	-0.23238	-0.18227
6.97	-0.23352	-0.18198
6.98	-0.23335	-0.18155
6.99	-0.2319	-0.18112
7	-0.22918	-0.18086
7.01	-0.22523	-0.18086
7.02	-0.22011	-0.1812
7.03	-0.21388	-0.18191
7.04	-0.20664	-0.183
7.05	-0.19848	-0.18441
7.06	-0.18953	-0.18608
7.07	-0.17991	-0.18792
7.08	-0.16976	-0.1898
7.09	-0.15922	-0.19159
7.1	-0.14846	-0.19317
7.11	-0.13762	-0.19439
