Wavenumber,Intensity
796.9514,0.066297
797.1844,0.065998
797.4173,0.065682
797.6503,0.065393
797.8833,0.065171
798.1162,0.065032
798.3492,0.064965
798.5821,0.064947
798.8151,0.064954
799.0480,0.064987
799.2810,0.065063
799.5140,0.065205
799.7469,0.065426
799.9799,0.065714
800.2128,0.066038
800.4458,0.066365
800.6788,0.066682
800.9117,0.067009
801.1447,0.067392
801.3776,0.067884
801.6106,0.068510
801.8436,0.069253
802.0765,0.070050
802.3095,0.070820
802.5424,0.071488
802.7754,0.072016
803.0083,0.072400
803.2413,0.072657
803.4743,0.072796
803.7072,0.072797
803.9402,0.072610
804.1731,0.072172
804.4061,0.071439
804.6391,0.070405
804.8720,0.069112
805.1050,0.067631
805.3379,0.066040
805.5709,0.064400
805.8038,0.062746
806.0368,0.061097
806.2698,0.059471
806.5027,0.057897
806.7357,0.056423
806.9686,0.055096
807.2016,0.053952
807.4346,0.052995
807.6675,0.052200
807.9005,0.051521
808.1334,0.050915
808.3664,0.050361
808.5994,0.049866
808.8323,0.049452
809.0653,0.049142
809.2982,0.048939
809.5312,0.048820
809.7641,0.048749
809.9971,0.048694
810.2301,0.048638
810.4630,0.048590
810.6960,0.048572
810.9289,0.048601
811.1619,0.048679
811.3949,0.048786
811.6278,0.048896
811.8608,0.048989
812.0937,0.049065
812.3267,0.049143
812.5596,0.049249
812.7926,0.049396
813.0256,0.049572
813.2585,0.049742
813.4915,0.049867
813.7244,0.049926
813.9574,0.049931
814.1904,0.049925
814.4233,0.049965
814.6563,0.050092
814.8892,0.050317
815.1222,0.050613
815.3552,0.050934
815.5881,0.051241
815.8211,0.051522
816.0540,0.051798
816.2870,0.052108
816.5199,0.052484
816.7529,0.052934
816.9859,0.053431
817.2188,0.053933
817.4518,0.054401
817.6847,0.054824
817.9177,0.055227
818.1507,0.055652
818.3836,0.056141
818.6166,0.056712
818.8495,0.057351
819.0825,0.058019
819.3154,0.058680
819.5484,0.059313
819.7814,0.059927
820.0143,0.060548
820.2473,0.061202
820.4802,0.061895
820.7132,0.062614
820.9462,0.063330
821.1791,0.064019
821.4121,0.064680
821.6450,0.065335
821.8780,0.066017
822.1110,0.066756
822.3439,0.067554
822.5769,0.068390
822.8098,0.069229
823.0428,0.070044
823.2757,0.070831
823.5087,0.071615
823.7417,0.072431
823.9746,0.073308
824.2076,0.074247
824.4405,0.075219
824.6735,0.076178
824.9065,0.077082
825.1394,0.077912
825.3724,0.078676
825.6053,0.079397
825.8383,0.080095
826.0712,0.080765
826.3042,0.081382
826.5372,0.081906
826.7701,0.082304
827.0031,0.082567
827.2360,0.082712
827.4690,0.082772
827.7020,0.082776
827.9349,0.082737
828.1679,0.082648
828.4008,0.082492
828.6338,0.082259
828.8668,0.081960
829.0997,0.081627
829.3327,0.081298
829.5656,0.081004
829.7986,0.080753
830.0315,0.080532
830.2645,0.080317
830.4975,0.080093
830.7304,0.079858
830.9634,0.079630
831.1963,0.079432
831.4293,0.079276
831.6623,0.079157
831.8952,0.079051
832.1282,0.078935
832.3611,0.078801
832.5941,0.078665
832.8270,0.078563
833.0600,0.078535
833.2930,0.078603
833.5259,0.078759
833.7589,0.078968
833.9918,0.079185
834.2248,0.079379
834.4578,0.079543
834.6907,0.079699
834.9237,0.079878
835.1566,0.080104
835.3896,0.080372
835.6226,0.080654
835.8555,0.080912
836.0885,0.081116
836.3214,0.081261
836.5544,0.081368
836.7873,0.081466
837.0203,0.081573
837.2533,0.081683
837.4862,0.081768
837.7192,0.081790
837.9521,0.081728
838.1851,0.081586
838.4181,0.081397
838.6510,0.081204
838.8840,0.081043
839.1169,0.080921
839.3499,0.080823
839.5828,0.080721
839.8158,0.080597
840.0488,0.080458
840.2817,0.080336
840.5147,0.080278
840.7476,0.080317
840.9806,0.080462
841.2136,0.080692
841.4465,0.080968
841.6795,0.081251
841.9124,0.081521
842.1454,0.081778
842.3784,0.082035
842.6113,0.082296
842.8443,0.082548
843.0772,0.082757
843.3102,0.082888
843.5431,0.082917
843.7761,0.082849
844.0091,0.082715
844.2420,0.082564
844.4750,0.082436
844.7079,0.082355
844.9409,0.082320
845.1739,0.082319
845.4068,0.082342
845.6398,0.082395
845.8727,0.082498
846.1057,0.082671
846.3386,0.082925
846.5716,0.083244
846.8046,0.083594
847.0375,0.083936
847.2705,0.084245
847.5034,0.084523
847.7364,0.084796
847.9694,0.085098
848.2023,0.085447
848.4353,0.085836
848.6682,0.086228
848.9012,0.086577
849.1342,0.086843
849.3671,0.087014
849.6001,0.087106
849.8330,0.087150
850.0660,0.087174
850.2989,0.087187
850.5319,0.087179
850.7649,0.087128
850.9978,0.087023
851.2308,0.086871
851.4637,0.086701
851.6967,0.086550
851.9297,0.086448
852.1626,0.086401
852.3956,0.086394
852.6285,0.086401
852.8615,0.086399
853.0944,0.086384
853.3274,0.086367
853.5604,0.086363
853.7933,0.086375
854.0263,0.086384
854.2592,0.086352
854.4922,0.086234
854.7252,0.086001
854.9581,0.085655
855.1911,0.085221
855.4240,0.084742
855.6570,0.084258
855.8900,0.083791
856.1229,0.083339
856.3559,0.082894
856.5888,0.082448
856.8218,0.082014
857.0547,0.081616
857.2877,0.081290
857.5207,0.081058
857.7536,0.080926
857.9866,0.080876
858.2195,0.080881
858.4525,0.080917
858.6855,0.080976
858.9184,0.081063
859.1514,0.081190
859.3843,0.081358
859.6173,0.081547
859.8502,0.081722
860.0832,0.081839
860.3162,0.081863
860.5491,0.081778
860.7821,0.081583
861.0150,0.081284
861.2480,0.080882
861.4810,0.080360
861.7139,0.079691
861.9469,0.078853
862.1798,0.077843
862.4128,0.076685
862.6458,0.075427
862.8787,0.074124
863.1117,0.072820
863.3446,0.071536
863.5776,0.070271
863.8105,0.069013
864.0435,0.067758
864.2765,0.066522
864.5094,0.065338
864.7424,0.064248
864.9753,0.063283
865.2083,0.062455
865.4413,0.061750
865.6742,0.061142
865.9072,0.060607
866.1401,0.060140
866.3731,0.059752
866.6060,0.059466
866.8390,0.059298
867.0720,0.059244
867.3049,0.059283
867.5379,0.059375
867.7708,0.059484
868.0038,0.059587
868.2368,0.059677
868.4697,0.059758
868.7027,0.059830
868.9356,0.059883
869.1686,0.059896
869.4016,0.059841
869.6345,0.059701
869.8675,0.059476
870.1004,0.059185
870.3334,0.058855
870.5663,0.058510
870.7993,0.058165
871.0323,0.057822
871.2652,0.057479
871.4982,0.057144
871.7311,0.056834
871.9641,0.056579
872.1971,0.056404
872.4300,0.056322
872.6630,0.056324
872.8959,0.056384
873.1289,0.056475
873.3618,0.056583
873.5948,0.056714
873.8278,0.056896
874.0607,0.057158
874.2937,0.057516
874.5266,0.057962
874.7596,0.058467
874.9926,0.058992
875.2255,0.059512
875.4585,0.060024
875.6914,0.060550
875.9244,0.061120
876.1574,0.061757
876.3903,0.062463
876.6233,0.063223
876.8562,0.064010
877.0892,0.064812
877.3221,0.065637
877.5551,0.066516
877.7881,0.067492
878.0210,0.068593
878.2540,0.069827
878.4869,0.071173
878.7199,0.072602
878.9529,0.074087
879.1858,0.075624
879.4188,0.077231
879.6517,0.078940
879.8847,0.080774
880.1176,0.082734
880.3506,0.084800
880.5836,0.086937
880.8165,0.089109
881.0495,0.091294
881.2824,0.093482
881.5154,0.095654
881.7484,0.097776
881.9813,0.099779
882.2143,0.101566
882.4472,0.103032
882.6802,0.104089
882.9132,0.104681
883.1461,0.104791
883.3791,0.104433
883.6120,0.103632
883.8450,0.102413
884.0779,0.100807
884.3109,0.098852
884.5439,0.096613
884.7768,0.094184
885.0098,0.091678
885.2427,0.089217
885.4757,0.086904
885.7087,0.084813
885.9416,0.082984
886.1746,0.081432
886.4075,0.080161
886.6405,0.079176
886.8734,0.078486
887.1064,0.078099
887.3394,0.078006
887.5723,0.078175
887.8053,0.078551
888.0382,0.079066
888.2712,0.079653
888.5042,0.080260
888.7371,0.080852
888.9701,0.081400
889.2030,0.081867
889.4360,0.082204
889.6690,0.082351
889.9019,0.082252
890.1349,0.081878
890.3678,0.081237
890.6008,0.080379
890.8337,0.079377
891.0667,0.078310
891.2997,0.077246
891.5326,0.076228
891.7656,0.075283
891.9985,0.074429
892.2315,0.073687
892.4645,0.073085
892.6974,0.072653
892.9304,0.072407
893.1633,0.072347
893.3963,0.072453
893.6292,0.072691
893.8622,0.073029
894.0952,0.073448
894.3281,0.073938
894.5611,0.074495
894.7940,0.075106
895.0270,0.075736
895.2600,0.076331
895.4929,0.076828
895.7259,0.077170
895.9588,0.077323
896.1918,0.077276
896.4247,0.077037
896.6577,0.076623
896.8907,0.076045
897.1236,0.075305
897.3566,0.074407
897.5895,0.073360
897.8225,0.072187
898.0555,0.070929
898.2884,0.069629
898.5214,0.068326
898.7543,0.067044
898.9873,0.065790
899.2203,0.064560
899.4532,0.063357
899.6862,0.062191
899.9191,0.061086
900.1521,0.060068
900.3850,0.059154
900.6180,0.058342
900.8510,0.057609
901.0839,0.056920
901.3169,0.056243
901.5498,0.055556
901.7828,0.054858
902.0158,0.054158
902.2487,0.053468
902.4817,0.052789
902.7146,0.052108
902.9476,0.051408
903.1805,0.050672
903.4135,0.049900
903.6465,0.049105
903.8794,0.048311
904.1124,0.047544
904.3453,0.046815
904.5783,0.046127
904.8113,0.045470
905.0442,0.044834
905.2772,0.044221
905.5101,0.043640
905.7431,0.043111
905.9761,0.042648
906.2090,0.042256
906.4420,0.041924
906.6749,0.041634
906.9079,0.041369
907.1408,0.041124
907.3738,0.040907
907.6068,0.040737
907.8397,0.040629
908.0727,0.040589
908.3056,0.040609
908.5386,0.040675
908.7716,0.040774
909.0045,0.040905
909.2375,0.041076
909.4704,0.041305
909.7034,0.041602
909.9363,0.041966
910.1693,0.042380
910.4023,0.042819
910.6352,0.043261
910.8682,0.043696
911.1011,0.044132
911.3341,0.044581
911.5671,0.045054
