************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  1  -2   4   2.30691   39.0099   3.14160e-02    2.1%   2    21     3.815
 -3   2   4   2.29834   39.1613   2.13371e-02    1.4%   2    29     3.783
  3   2  -4   2.29834   39.1613   2.13371e-02    1.4%   2    29     3.783
  1   0  -6   2.29328   39.2512   5.04006e-02    3.4%   2    37     3.764
  2   0  -6   2.29011   39.3077   3.28054e-05    0.0%   2    40     3.752
  4   2   0   2.28693   39.3648   1.66649e-02    1.1%   4    20     3.740
  0   3   2   2.27266   39.6221   3.40369e-02    2.3%   2    13     3.686
  0   3  -2   2.27266   39.6221   3.40369e-02    2.3%   2    13     3.686
 -1   3   2   2.27163   39.6408   1.47538e-02    1.0%   2    14     3.682
  1   3  -2   2.27163   39.6408   1.47538e-02    1.0%   2    14     3.682
  5   1  -3   2.25105   40.0188   5.17144e-02    3.5%   2    35     3.605
 -5   1   3   2.25105   40.0188   5.17144e-02    3.5%   2    35     3.605
  3   0   4   2.24931   40.0510   1.18119e-04    0.0%   2    25     3.599
  2   3  -1   2.24512   40.1289   2.35095e-02    1.6%   2    14     3.583
 -2   3   1   2.24512   40.1289   2.35095e-02    1.6%   2    14     3.583
  5   1   0   2.24146   40.1973   9.45018e-03    0.6%   4    26     3.570
  2   3   0   2.23747   40.2720   2.27492e-02    1.5%   4    13     3.555
  4   2  -3   2.23578   40.3038   1.91765e-02    1.3%   2    29     3.549
 -4   2   3   2.23578   40.3038   1.91765e-02    1.3%   2    29     3.549
  5   0  -4   2.23351   40.3466   2.45068e-03    0.2%   2    41     3.540
  5   0   1   2.21796   40.6419   5.16344e-07    0.0%   2    26     3.483
  0   0   6   2.21391   40.7195   8.59201e-03    0.6%   2    36     3.468
  3   0  -6   2.20540   40.8837   6.19112e-03    0.4%   2    45     3.437
  2   0   5   2.20529   40.8858   1.32373e-02    0.9%   2    29     3.437
 -4   1   5   2.20518   40.8879   2.30336e-03    0.2%   2    42     3.437
  4   1  -5   2.20518   40.8879   2.30336e-03    0.2%   2    42     3.437
 -1   2   5   2.19638   41.0590   3.14648e-02    2.1%   2    30     3.405
  1   2  -5   2.19638   41.0590   3.14648e-02    2.1%   2    30     3.405
  1   3   2   2.19349   41.1156   7.35613e-03    0.5%   2    14     3.394
  1  -3   2   2.19349   41.1156   7.35613e-03    0.5%   2    14     3.394
  2   3  -2   2.19072   41.1700   6.95826e-03    0.5%   2    17     3.384
 -2   3   2   2.19072   41.1700   6.95826e-03    0.5%   2    17     3.384
  4   0   3   2.19057   41.1729   2.64239e-02    1.8%   2    25     3.384
 -1   1   6   2.18667   41.2498   2.23231e-02    1.5%   2    38     3.370
  1   1  -6   2.18667   41.2498   2.23231e-02    1.5%   2    38     3.370
 -2   1   6   2.18392   41.3040   1.74637e-02    1.2%   2    41     3.360
  2   1  -6   2.18392   41.3040   1.74637e-02    1.2%   2    41     3.360
  4   2   1   2.17740   41.4335   1.45414e-02    1.0%   2    21     3.336
  4  -2   1   2.17740   41.4335   1.45414e-02    1.0%   2    21     3.336
 -2   2   5   2.17529   41.4754   6.31730e-04    0.0%   2    33     3.329
  2   2  -5   2.17529   41.4754   6.31730e-04    0.0%   2    33     3.329
  2   3   1   2.16960   41.5893   4.08674e-03    0.3%   2    14     3.309
  2  -3   1   2.16960   41.5893   4.08674e-03    0.3%   2    14     3.309
