f / Hz,T=324.99K,T=319.99K,T=314.99K,T=309.99K,T=304.99K,T=299.99K,T=294.99K,T=290.01K,T=284.99K,T=280K,T=277.49K,T=275K,T=272.5K,T=269.99K,T=267.5K,T=265K,T=262.5K,T=260K,T=257.5K,T=255K,T=252.5K,T=250K
750,4.7999,4.89268,4.98778,5.0807,5.17719,5.28067,5.37866,5.4308,4.72078,3.64418,3.35154,3.1726,3.06237,2.99273,2.94844,2.91941,2.89955,2.88554,2.87536,2.86824,2.86386,2.86101
562,4.80022,4.89292,4.98787,5.08101,5.17767,5.28173,5.38474,5.48912,4.97845,3.79212,3.43671,3.22105,3.08965,3.00848,2.95775,2.9248,2.90291,2.88774,2.87703,2.8697,2.86498,2.8621
422,4.80007,4.89274,4.98772,5.08079,5.17768,5.28216,5.38804,5.52465,5.20739,3.96667,3.53861,3.27848,3.12243,3.02678,2.96821,2.93118,2.90666,2.89033,2.8787,2.87088,2.86611,2.86298
316,4.80012,4.89289,4.98774,5.08091,5.17772,5.28263,5.39042,5.54627,5.39533,4.17354,3.66266,3.34817,3.16087,3.04867,2.98073,2.93832,2.91115,2.89302,2.88065,2.87232,2.86708,2.86392
237,4.79581,4.89005,4.98609,5.08001,5.17759,5.28286,5.39177,5.55916,5.5338,4.40867,3.81096,3.43211,3.20726,3.07447,2.99524,2.94711,2.91646,2.89661,2.88301,2.87413,2.86882,2.8654
178,4.79819,4.89139,4.98694,5.08055,5.17779,5.28316,5.39254,5.56684,5.62802,4.66333,3.9853,3.53109,3.26108,3.10373,3.01151,2.95601,2.92144,2.89934,2.88465,2.87519,2.86957,2.86609
133,4.79876,4.89195,4.98753,5.08086,5.17819,5.28342,5.39355,5.57164,5.69049,4.93142,4.19294,3.65312,3.32782,3.13998,3.03137,2.9672,2.92809,2.90361,2.88732,2.87725,2.87107,2.8673
100,4.79825,4.89169,4.98731,5.08079,5.17818,5.28358,5.394,5.57461,5.7282,5.1824,4.42425,3.79454,3.40526,3.18173,3.05388,2.97966,2.93517,2.90758,2.88989,2.87873,2.87223,2.8684
75,4.79899,4.89215,4.98764,5.08105,5.17823,5.28395,5.39447,5.57663,5.7515,5.4043,4.68012,3.96388,3.49828,3.23102,3.08031,2.99402,2.94294,2.91197,2.89241,2.88017,2.87339,2.86923
56.2,4.80037,4.89337,4.98786,5.08167,5.17896,5.284,5.39472,5.57781,5.76513,5.58131,4.94708,4.16282,3.61036,3.29041,3.11159,3.01089,2.95231,2.91752,2.89564,2.88233,2.87471,2.87032
42.2,4.80067,4.89367,4.98838,5.08155,5.17851,5.28409,5.39487,5.5787,5.77342,5.71017,5.2032,4.38787,3.74232,3.35997,3.14795,3.03003,2.96257,2.92304,2.89863,2.88425,2.87585,2.87117
31.6,4.8013,4.89365,4.98842,5.08161,5.17862,5.2842,5.39517,5.57931,5.77836,5.79866,5.43431,4.64009,3.90069,3.44399,3.19143,3.05273,2.97462,2.9296,2.90261,2.88644,2.87724,2.87228
23.7,4.80156,4.89431,4.98871,5.0817,5.17874,5.28443,5.39534,5.57986,5.78161,5.85555,5.62125,4.90561,4.08524,3.5435,3.24277,3.07947,2.98871,2.93705,2.90668,2.88889,2.87915,2.87336
17.8,4.80247,4.89511,4.98919,5.08188,5.17885,5.28442,5.39548,5.58015,5.78353,5.89059,5.76024,5.16868,4.29689,3.66141,3.303,3.11075,3.00472,2.94563,2.91148,2.89202,2.88087,2.87451
13.3,4.80486,4.89525,4.98994,5.08241,5.179,5.28477,5.39552,5.5806,5.78505,5.91237,5.8582,5.41557,4.53957,3.80376,3.37634,3.14741,3.02395,2.9558,2.91716,2.89512,2.88279,2.87612
10,4.80416,4.89752,4.99047,5.08313,5.17988,5.28534,5.39622,5.58142,5.78645,5.92535,5.92134,5.62011,4.79796,3.96797,3.46102,3.19026,3.04548,2.967,2.92299,2.89835,2.88509,2.87755
7.5,4.81084,4.89831,4.99205,5.08407,5.18028,5.28575,5.39645,5.5819,5.78769,5.93382,5.961,5.77992,5.06665,4.16074,3.56266,3.24084,3.07099,2.98011,2.92998,2.9025,2.88754,2.87941
5.62,4.8131,4.89722,4.99389,5.08507,5.18082,5.28609,5.39664,5.58252,5.78846,5.93872,5.98564,5.89511,5.32717,4.38217,3.68339,3.30061,3.10085,2.99521,2.9378,2.90678,2.8899,2.88119
4.22,4.80685,4.89763,4.99219,5.084,5.17972,5.28488,5.39558,5.58146,5.78716,5.94026,5.99924,5.96942,5.55784,4.62662,3.82436,3.3704,3.13473,3.01225,2.94628,2.91109,2.89236,2.88285
3.16,4.80256,4.90285,4.99058,5.08441,5.1808,5.28521,5.39667,5.58229,5.78722,5.94176,6.00834,6.01907,5.75073,4.89449,3.99374,3.45532,3.17535,3.03241,2.95703,2.91657,2.89611,2.88506
2.37,4.81701,4.90592,4.99105,5.08448,5.18122,5.28586,5.39703,5.58227,5.78835,5.94436,6.01301,6.05025,5.89506,5.16496,4.18785,3.55436,3.22311,3.05513,2.96837,2.92244,2.89989,2.88681
1.78,4.86045,4.91777,5.00403,5.08813,5.18149,5.2854,5.39513,5.58087,5.78743,5.94387,6.01576,6.06667,5.99297,5.41986,4.40606,3.66895,3.27832,3.08144,2.98033,2.92907,2.90332,2.88908
1.33,4.85455,4.91657,4.99662,5.08704,5.1827,5.2869,5.39803,5.5826,5.78874,5.94586,6.01863,6.07881,6.06311,5.65548,4.66039,3.81018,3.34566,3.11342,2.99678,2.93758,2.90821,2.892
1,4.84672,4.92496,4.99782,5.08883,5.18319,5.28763,5.3975,5.58347,5.7894,5.94698,6.02079,6.0848,6.10315,5.83939,4.92387,3.97056,3.42397,3.15017,3.01408,2.94622,2.91264,2.89543
0.75,4.8883,4.92822,5.00546,5.09195,5.18433,5.28746,5.39739,5.58343,5.7893,5.94723,6.02167,6.0887,6.12822,5.97808,5.19644,4.15903,3.51576,3.19256,3.03398,2.95573,2.918,2.89873
0.562,4.92672,4.95036,5.01529,5.0944,5.18498,5.28781,5.39711,5.5827,5.7885,5.94666,6.0213,6.09008,6.14242,6.0745,5.45906,4.3756,3.62376,3.2421,3.05675,2.96683,2.92402,2.90185
0.422,4.99248,4.9764,5.02542,5.09761,5.18635,5.28868,5.39751,5.58271,5.78833,5.94668,6.02181,6.09236,6.1523,6.13754,5.69282,4.61716,3.75133,3.30065,3.08402,2.98006,2.93083,2.90617
0.316,5.08527,5.01221,5.03806,5.10219,5.18788,5.28902,5.39723,5.5826,5.78781,5.94667,6.02205,6.09325,6.15749,6.17718,5.88642,4.88205,3.902,3.36991,3.11545,2.99464,2.93847,2.91066
0.237,5.23153,5.06874,5.06057,5.11119,5.19212,5.29161,5.39914,5.58405,5.78905,5.94815,6.02376,6.09534,6.16222,6.20269,6.03381,5.15813,4.0781,3.45189,3.1524,3.01192,2.94749,2.91601
0.178,5.4168,5.14051,5.08711,5.12095,5.19502,5.29279,5.39963,5.58423,5.78938,5.94816,6.02359,6.09598,6.16421,6.21713,6.13561,5.42702,4.27981,3.54703,3.19477,3.03102,2.95732,2.92174
0.133,5.68628,5.24667,5.12652,5.13425,5.1996,5.29383,5.39986,5.58389,5.78825,5.94734,6.0232,6.09563,6.16534,6.22551,6.20306,5.67811,4.5108,3.6603,3.24333,3.05318,2.96819,2.92734
0.1,6.04023,5.38248,5.17645,5.15334,5.20528,5.29595,5.40062,5.58457,5.78852,5.94806,6.02388,6.09645,6.16612,6.23051,6.24541,5.88827,4.76437,3.79292,3.3027,3.07865,2.9805,2.93448
0.075,--,5.59908,5.2572,5.18141,5.21458,5.29854,5.40188,5.58517,5.78827,5.94795,6.02345,6.09626,6.16649,6.23317,6.27097,6.05223,5.03696,3.948,3.37086,3.10847,2.99434,2.94206
0.0562,--,5.88431,5.35412,5.21371,5.22506,5.30192,5.40294,5.58585,5.78827,5.94779,6.02375,6.09674,6.16705,6.23537,6.28689,6.17173,5.31806,4.1296,3.45151,3.14279,3.01077,2.95059
0.0422,--,6.3567,5.5307,5.26887,5.24474,5.30816,5.40413,5.58643,5.78846,5.94796,6.0249,6.09688,6.16752,6.23704,6.29678,6.25195,5.58357,4.33765,3.54535,3.18303,3.02866,2.96027
0.0316,--,7.17743,5.83366,5.3727,5.2775,5.31778,5.4077,5.5877,5.78855,5.94782,6.02404,6.09726,6.16732,6.2379,6.30092,6.30405,5.82285,4.57439,3.65684,3.22866,3.04931,2.97108
