f / Hz,T=324.99K,T=319.99K,T=314.99K,T=309.99K,T=304.99K,T=299.99K,T=294.99K,T=290.01K,T=284.99K,T=280K,T=277.49K,T=275K,T=272.5K,T=269.99K,T=267.5K,T=265K,T=262.5K,T=260K,T=257.5K,T=255K,T=252.5K,T=250K
178000,0.16793,0.321994,0.592539,0.856043,0.790365,0.539049,0.32245,0.18131,0.0986335,0.0555447,0.0430841,0.0349255,0.0284149,0.0239955,0.0213326,0.0183852,0.0169357,0.0154218,0.0141745,0.0131935,0.0125449,0.0120475
133000,0.12641,0.246416,0.478721,0.796776,0.86146,0.623015,0.376365,0.209783,0.111478,0.0605652,0.0460284,0.0363727,0.0293233,0.0245623,0.0214055,0.018642,0.016953,0.0154592,0.0141854,0.0132581,0.0126175,0.012121
100000,0.095937,0.188246,0.377725,0.699479,0.899922,0.71107,0.437981,0.243459,0.126933,0.0664981,0.0494936,0.038354,0.0303943,0.0251049,0.0215502,0.0187622,0.0169346,0.0154866,0.0142573,0.0132607,0.0126065,0.0121914
75000,0.0728881,0.143261,0.292561,0.583246,0.891114,0.799694,0.509382,0.283733,0.145659,0.0736894,0.0536187,0.0403552,0.0313913,0.0253983,0.0215004,0.0185092,0.0166071,0.0149729,0.0138169,0.0128358,0.0122332,0.011784
56200,0.0552127,0.108378,0.223813,0.468794,0.830406,0.878104,0.590871,0.33188,0.168634,0.0829461,0.0592764,0.0436829,0.0333888,0.0265353,0.022252,0.019032,0.0169958,0.0154317,0.0142138,0.0132849,0.0127163,0.0122435
42200,0.0418895,0.0818543,0.170072,0.367358,0.728927,0.928471,0.67812,0.387214,0.195407,0.093483,0.0652871,0.0469635,0.0349389,0.0272157,0.022209,0.01881,0.0165506,0.0149484,0.0137474,0.0129028,0.0122679,0.0119153
31600,0.0313945,0.0613162,0.128068,0.282116,0.60745,0.935423,0.769458,0.451866,0.22753,0.106309,0.0727695,0.0509003,0.0368774,0.027898,0.0222011,0.0183704,0.0160306,0.0143245,0.013069,0.0122009,0.0116424,0.0112882
23700,0.0240149,0.046342,0.0967683,0.215291,0.48849,0.890368,0.856595,0.525522,0.265665,0.121779,0.0818982,0.056003,0.0394793,0.029031,0.0223952,0.0182109,0.0155818,0.0137331,0.0125133,0.0116094,0.0111508,0.0107907
17800,0.0186232,0.0352796,0.0732498,0.163559,0.383499,0.799018,0.927476,0.607636,0.310633,0.140657,0.0931672,0.0624636,0.0429565,0.0306934,0.0231259,0.0183895,0.0154424,0.0134749,0.0121479,0.0113318,0.0107628,0.0105007
13300,0.0145344,0.0268035,0.0550602,0.123172,0.294705,0.678049,0.967627,0.698273,0.363982,0.163488,0.106886,0.070241,0.0471447,0.0327566,0.0239669,0.0185652,0.0151792,0.0130202,0.0116435,0.0107403,0.0102707,0.00999555
10000,0.0120085,0.0208776,0.0419295,0.0933751,0.225645,0.554139,0.961347,0.790387,0.424635,0.190249,0.123223,0.0797756,0.0524013,0.0354803,0.0252389,0.0190225,0.0152242,0.0128489,0.0113181,0.010423,0.00990765,0.00960571
7500,0.0102077,0.0163017,0.0319435,0.0705098,0.171296,0.438864,0.903374,0.880105,0.494635,0.222215,0.142783,0.0911622,0.0587752,0.0387489,0.0267831,0.0195688,0.0152298,0.0125872,0.0109428,0.00994142,0.00943981,0.00916302
5620,0.00953662,0.01346,0.0247571,0.0535652,0.129782,0.340672,0.802056,0.956274,0.573902,0.260139,0.166384,0.1051,0.0666397,0.0430196,0.0289466,0.020566,0.0155836,0.0126168,0.0107524,0.0096839,0.00910942,0.00881213
4220,0.00943084,0.0113868,0.0193905,0.0408975,0.0984481,0.261773,0.678244,1.00399,0.660397,0.304249,0.194069,0.121579,0.0759255,0.0480746,0.0315033,0.0217755,0.0160182,0.0126283,0.0105972,0.00942207,0.00880214,0.00851814
3160,0.0099136,0.0101174,0.0153923,0.0311052,0.0742909,0.198874,0.550232,1.00949,0.75326,0.355933,0.226961,0.141256,0.0870981,0.0540223,0.0344932,0.0231369,0.0165234,0.0126129,0.0103227,0.00902849,0.00834792,0.00804606
2370,0.0112219,0.00960178,0.012517,0.0238856,0.0561498,0.15066,0.434631,0.964168,0.847014,0.41519,0.265304,0.164417,0.100354,0.0612061,0.0381941,0.0248952,0.0172236,0.0127522,0.010164,0.00873821,0.00797374,0.00765327
1780,0.0135943,0.0100253,0.010902,0.0187195,0.0427593,0.114187,0.337623,0.872961,0.934628,0.482705,0.310034,0.191792,0.116161,0.0698838,0.0427871,0.027168,0.0182328,0.0131013,0.0101801,0.00855583,0.00770488,0.00729999
1330,0.0173058,0.0113881,0.0102008,0.0150891,0.0326636,0.0861991,0.25807,0.749116,1.0071,0.55992,0.362755,0.224574,0.135274,0.0804578,0.0483889,0.0300406,0.0195823,0.0136497,0.0102922,0.00847436,0.00751398,0.00707836
1000,0.0222952,0.0136239,0.0103289,0.0127479,0.0254041,0.0656001,0.197117,0.618638,1.04872,0.643434,0.422185,0.262115,0.157347,0.0927523,0.0549568,0.0334001,0.0212127,0.0143781,0.0105324,0.00843692,0.00736357,0.00686617
750,0.0290511,0.016921,0.011167,0.0112342,0.0199668,0.0499121,0.149614,0.494319,1.0485,0.733668,0.490084,0.30617,0.1835,0.107358,0.0627494,0.037442,0.0231657,0.0152206,0.0107946,0.00842828,0.0072078,0.0066236
562,0.038097,0.0214126,0.0126698,0.0104018,0.0158453,0.0378935,0.11311,0.385904,0.998595,0.82717,0.566291,0.357132,0.214079,0.124557,0.0719614,0.0421502,0.0254501,0.0162307,0.011109,0.00837397,0.00702493,0.00634934
422,0.0504079,0.0278819,0.0154877,0.010641,0.0132544,0.0292422,0.0858907,0.29784,0.904054,0.917649,0.649721,0.41529,0.249739,0.144805,0.0828893,0.047868,0.0283123,0.0175732,0.0117115,0.00854806,0.00699563,0.00620622
316,0.0668839,0.0366139,0.0195002,0.0116434,0.0115178,0.0227353,0.0650489,0.227176,0.778369,0.998267,0.739882,0.481898,0.291484,0.168752,0.0958601,0.0546162,0.0317039,0.0191949,0.0123773,0.00877095,0.00697008,0.00605826
237,0.0905532,0.0493361,0.0258302,0.0142274,0.0110889,0.0182532,0.0496244,0.172831,0.643694,1.05709,0.832649,0.556425,0.339454,0.19679,0.111066,0.0625056,0.0355713,0.0211477,0.0132562,0.00909857,0.00693756,0.00587092
178,0.118515,0.0639868,0.0325932,0.0161952,0.0102369,0.0141385,0.037233,0.130615,0.515531,1.08149,0.922103,0.637251,0.393946,0.228605,0.128488,0.0714595,0.0400201,0.0230564,0.0139029,0.00917635,0.00673818,0.00552218
133,0.158576,0.0856983,0.0433792,0.0212112,0.0117295,0.0122738,0.0288471,0.0988981,0.402793,1.06258,1.00424,0.726873,0.457748,0.267301,0.149817,0.0828904,0.045948,0.0261011,0.015386,0.0098937,0.00717799,0.00579736
100,0.21121,0.114186,0.0575975,0.0272512,0.0134944,0.0110647,0.022535,0.0751112,0.311391,0.996676,1.06431,0.817862,0.527669,0.310666,0.174104,0.0956882,0.0524091,0.0292798,0.0169761,0.0106756,0.00748489,0.00585403
75,0.280325,0.151228,0.0756576,0.035203,0.0160253,0.0102739,0.0176756,0.0567562,0.238003,0.890033,1.09319,0.908828,0.605694,0.360666,0.202492,0.110446,0.0599002,0.0329467,0.0186493,0.0114378,0.00775214,0.00577284
56.2,0.373591,0.201329,0.101161,0.0469485,0.0207476,0.0113212,0.0146733,0.0438354,0.181373,0.759868,1.08128,0.993236,0.691457,0.418642,0.235965,0.128521,0.0692138,0.0375809,0.021024,0.0126023,0.00845605,0.00627413
42.2,0.49597,0.26728,0.133945,0.0619205,0.0268309,0.0129467,0.0128326,0.0338102,0.137927,0.624864,1.02257,1.06048,0.781201,0.483412,0.27423,0.149204,0.0796859,0.0428953,0.0236298,0.0139568,0.00920828,0.00667971
31.6,0.661368,0.356017,0.178205,0.0819543,0.0348281,0.01514,0.0114272,0.0260849,0.104398,0.497847,0.921364,1.10079,0.873331,0.556432,0.318651,0.173213,0.0918209,0.048845,0.0265386,0.0153093,0.00982813,0.00702417
23.7,0.880749,0.473923,0.23716,0.108926,0.0459303,0.0188726,0.011273,0.0207411,0.0794603,0.389241,0.793803,1.1031,0.961635,0.636645,0.369538,0.201309,0.106188,0.0559226,0.0299847,0.0170493,0.0107575,0.00753047
17.8,1.17141,0.630217,0.315313,0.144425,0.0606852,0.0241305,0.0119817,0.0167168,0.0606382,0.300632,0.657947,1.06071,1.03838,0.72267,0.42714,0.233741,0.122856,0.0641797,0.0338452,0.0190658,0.0118801,0.00803749
13.3,1.56666,0.842417,0.42114,0.192933,0.0806175,0.031196,0.0133072,0.0143493,0.0464844,0.229131,0.52698,0.973278,1.0955,0.8147,0.493478,0.271809,0.142571,0.0737516,0.0385061,0.0212248,0.0129641,0.00888827
10,2.08197,1.11942,0.559411,0.255823,0.106425,0.0404541,0.0157352,0.0124913,0.0356866,0.174697,0.414288,0.854532,1.1199,0.905117,0.565856,0.314651,0.164717,0.0846725,0.0436877,0.0237511,0.014312,0.0095231
7.5,2.77475,1.49134,0.744913,0.340509,0.141274,0.053068,0.0192361,0.0115338,0.0276437,0.132658,0.320223,0.718905,1.10402,0.991435,0.646246,0.364122,0.190969,0.0974232,0.0497817,0.0266242,0.0157378,0.0102614
5.62,3.70138,1.98901,0.993502,0.454002,0.188176,0.070367,0.0244991,0.0117509,0.0217978,0.100753,0.245141,0.584021,1.04322,1.06516,0.733234,0.420855,0.221494,0.112464,0.0568968,0.0300444,0.0175097,0.0113039
4.22,4.92528,2.64672,1.32143,0.60349,0.249796,0.0928979,0.03127,0.0124874,0.017311,0.076307,0.186507,0.462409,0.9421,1.11531,0.823316,0.484149,0.256372,0.129652,0.0648641,0.0337618,0.0192723,0.0123133
3.16,6.57598,3.53373,1.76412,0.805354,0.333211,0.123651,0.0413275,0.014692,0.014456,0.0582824,0.141654,0.35918,0.813853,1.13373,0.915475,0.556232,0.297162,0.149961,0.074478,0.0383459,0.0217481,0.0136244
2.37,8.76466,4.71012,2.35083,1.0726,0.443694,0.164421,0.0542335,0.0175331,0.0126443,0.0444772,0.107401,0.276027,0.676131,1.1098,1.00182,0.634892,0.343796,0.173361,0.0855346,0.0432838,0.024213,0.0148964
1.78,11.6676,6.25748,3.1265,1.42806,0.590211,0.219412,0.0717777,0.0234663,0.0132657,0.0358339,0.0833124,0.211094,0.544942,1.04221,1.07545,0.719496,0.397777,0.201326,0.0983587,0.0500789,0.0272145,0.017369
1.33,15.6011,8.39102,4.18553,1.90645,0.788436,0.291393,0.0952542,0.0278274,0.0114381,0.0260231,0.0617871,0.160677,0.427977,0.934628,1.12911,0.812545,0.45777,0.232219,0.113595,0.0558854,0.0307609,0.0184149
1,20.7505,11.1549,5.56465,2.53602,1.04839,0.387198,0.126482,0.0362115,0.011813,0.0200672,0.0464209,0.121282,0.331418,0.804493,1.14863,0.902151,0.524439,0.268044,0.130679,0.064217,0.0347566,0.0201142
0.75,27.6463,14.8706,7.41605,3.38177,1.39703,0.515833,0.167069,0.0479212,0.0138303,0.0161785,0.0355067,0.0915329,0.253333,0.665017,1.12614,0.990032,0.599638,0.309873,0.149847,0.0728109,0.0389112,0.022494
0.562,36.8741,19.8338,9.89246,4.51183,1.86324,0.688101,0.223366,0.0640196,0.017616,0.014164,0.0280588,0.0699585,0.193105,0.533496,1.06207,1.06986,0.683048,0.358215,0.173555,0.0837876,0.0440627,0.0255352
0.422,49.0852,26.4094,13.169,6.00724,2.48039,0.915471,0.297088,0.0847102,0.0220607,0.0123668,0.0218123,0.0533115,0.146765,0.418849,0.95842,1.12919,0.770454,0.41238,0.200299,0.0958506,0.0498068,0.0286122
0.316,65.5101,35.2545,17.5765,8.01874,3.31173,1.22153,0.396718,0.11299,0.0286461,0.0120157,0.0179227,0.0409972,0.111458,0.32362,0.827843,1.16101,0.862958,0.475078,0.231875,0.110293,0.0567768,0.0322843
0.237,87.3006,46.9964,23.4237,10.6846,4.41514,1.62661,0.527891,0.14921,0.0364168,0.0113497,0.0141901,0.0308547,0.0836435,0.246638,0.687355,1.15358,0.954199,0.543965,0.267398,0.126314,0.0640523,0.0359194
0.178,116.135,62.551,31.1702,14.2161,5.87882,2.1646,0.70218,0.198659,0.0483845,0.0131496,0.0126019,0.0245502,0.0639523,0.187991,0.554365,1.10389,1.03981,0.620617,0.308632,0.14541,0.0730942,0.0405277
0.133,155.245,83.6438,41.6839,19.0255,7.86012,2.89529,0.938238,0.266072,0.0643671,0.0153899,0.0116734,0.0192629,0.0486703,0.142446,0.43472,1.01059,1.1122,0.705125,0.355929,0.167505,0.083317,0.0459062
0.1,206.167,111.149,55.4105,25.3026,10.4478,3.85037,1.24875,0.353654,0.0857408,0.0188848,0.0122849,0.0163879,0.0377042,0.108621,0.337553,0.888487,1.16213,0.794093,0.41038,0.192652,0.0952192,0.0518521
0.075,--,148.201,73.8213,33.7314,13.9268,5.13262,1.66238,0.469164,0.112872,0.0240528,0.0128028,0.0134263,0.0285636,0.082268,0.258467,0.748784,1.17916,0.88677,0.471205,0.221428,0.108341,0.0584336
0.0562,--,197.382,98.482,44.9658,18.5768,6.84799,2.21919,0.626266,0.151192,0.0314706,0.0161956,0.0131655,0.0234896,0.0635305,0.197024,0.610475,1.15588,0.978736,0.539928,0.25557,0.123844,0.0662976
0.0422,--,262.663,131.16,59.7855,24.7296,9.10348,2.94878,0.833327,0.200348,0.0406511,0.0188188,0.0131371,0.0188653,0.0482426,0.1502,0.482932,1.08875,1.06412,0.615496,0.293895,0.141961,0.0750566
0.0316,--,350.812,174.991,79.8045,32.9491,12.1534,3.93706,1.11077,0.266046,0.0523337,0.0220157,0.0122198,0.0140813,0.0365377,0.111885,0.374019,0.981111,1.13481,0.698309,0.337458,0.160647,0.0852533
