Created as New Dataset,Sample 443 By YargerLab Date Thursday, February 27 2025
cm-1,%T
3278.00,94.75
3277.00,94.74
3276.00,94.74
3275.00,94.73
3274.00,94.73
3273.00,94.74
3272.00,94.74
3271.00,94.73
3270.00,94.72
3269.00,94.70
3268.00,94.69
3267.00,94.69
3266.00,94.70
3265.00,94.72
3264.00,94.73
3263.00,94.76
3262.00,94.78
3261.00,94.80
3260.00,94.82
3259.00,94.83
3258.00,94.85
3257.00,94.87
3256.00,94.89
3255.00,94.90
3254.00,94.91
3253.00,94.92
3252.00,94.93
3251.00,94.95
3250.00,94.97
3249.00,94.99
3248.00,95.00
3247.00,95.00
3246.00,94.99
3245.00,94.98
3244.00,94.96
3243.00,94.93
3242.00,94.90
3241.00,94.87
3240.00,94.83
3239.00,94.78
3238.00,94.74
3237.00,94.68
3236.00,94.63
3235.00,94.56
3234.00,94.48
3233.00,94.37
3232.00,94.26
3231.00,94.13
3230.00,94.00
3229.00,93.86
3228.00,93.71
3227.00,93.55
3226.00,93.38
3225.00,93.20
3224.00,93.03
3223.00,92.85
3222.00,92.68
3221.00,92.51
3220.00,92.34
3219.00,92.18
3218.00,92.03
3217.00,91.89
3216.00,91.77
3215.00,91.66
3214.00,91.57
3213.00,91.50
3212.00,91.45
3211.00,91.42
3210.00,91.40
3209.00,91.39
3208.00,91.39
3207.00,91.41
3206.00,91.45
3205.00,91.48
3204.00,91.52
3203.00,91.57
3202.00,91.62
3201.00,91.66
3200.00,91.71
3199.00,91.75
3198.00,91.78
3197.00,91.81
3196.00,91.84
3195.00,91.86
3194.00,91.86
3193.00,91.86
3192.00,91.84
3191.00,91.81
3190.00,91.78
3189.00,91.74
3188.00,91.69
3187.00,91.64
3186.00,91.58
3185.00,91.51
3184.00,91.45
3183.00,91.37
3182.00,91.29
3181.00,91.21
3180.00,91.12
3179.00,91.03
3178.00,90.95
3177.00,90.87
3176.00,90.79
3175.00,90.72
3174.00,90.66
3173.00,90.61
3172.00,90.57
3171.00,90.53
3170.00,90.51
3169.00,90.50
3168.00,90.50
3167.00,90.51
3166.00,90.52
3165.00,90.55
3164.00,90.59
3163.00,90.65
3162.00,90.72
3161.00,90.79
3160.00,90.87
3159.00,90.95
3158.00,91.04
3157.00,91.13
3156.00,91.23
3155.00,91.33
3154.00,91.43
3153.00,91.52
3152.00,91.60
3151.00,91.68
3150.00,91.75
3149.00,91.83
3148.00,91.90
3147.00,91.98
3146.00,92.05
3145.00,92.12
3144.00,92.19
3143.00,92.25
3142.00,92.30
3141.00,92.36
3140.00,92.41
3139.00,92.45
3138.00,92.50
3137.00,92.55
3136.00,92.59
3135.00,92.64
3134.00,92.68
3133.00,92.72
3132.00,92.76
3131.00,92.81
3130.00,92.85
3129.00,92.89
3128.00,92.93
3127.00,92.97
3126.00,93.01
3125.00,93.05
3124.00,93.09
3123.00,93.14
3122.00,93.18
3121.00,93.22
3120.00,93.26
3119.00,93.30
3118.00,93.34
3117.00,93.37
3116.00,93.41
3115.00,93.44
3114.00,93.47
3113.00,93.52
3112.00,93.57
3111.00,93.62
3110.00,93.67
3109.00,93.71
3108.00,93.75
3107.00,93.78
3106.00,93.82
3105.00,93.86
3104.00,93.90
3103.00,93.93
3102.00,93.97
3101.00,94.00
3100.00,94.04
3099.00,94.07
3098.00,94.11
3097.00,94.14
3096.00,94.17
3095.00,94.20
3094.00,94.23
3093.00,94.25
3092.00,94.27
3091.00,94.28
3090.00,94.30
3089.00,94.32
3088.00,94.35
3087.00,94.37
3086.00,94.39
3085.00,94.40
3084.00,94.41
3083.00,94.41
3082.00,94.42
3081.00,94.43
3080.00,94.44
3079.00,94.45
3078.00,94.46
3077.00,94.46
3076.00,94.46
3075.00,94.46
3074.00,94.46
3073.00,94.46
3072.00,94.45
3071.00,94.44
3070.00,94.43
3069.00,94.43
3068.00,94.42
3067.00,94.42
3066.00,94.41
3065.00,94.40
3064.00,94.39
3063.00,94.38
3062.00,94.38
3061.00,94.37
3060.00,94.36
3059.00,94.35
3058.00,94.34
3057.00,94.33
3056.00,94.31
3055.00,94.29
3054.00,94.28
3053.00,94.26
3052.00,94.25
3051.00,94.24
3050.00,94.23
3049.00,94.22
3048.00,94.20
3047.00,94.18
3046.00,94.16
3045.00,94.14
3044.00,94.13
3043.00,94.11
3042.00,94.09
3041.00,94.08
3040.00,94.06
3039.00,94.03
3038.00,94.01
3037.00,93.99
3036.00,93.97
3035.00,93.95
3034.00,93.93
3033.00,93.90
3032.00,93.87
3031.00,93.85
3030.00,93.82
3029.00,93.80
3028.00,93.78
3027.00,93.76
3026.00,93.73
3025.00,93.70
3024.00,93.67
3023.00,93.64
3022.00,93.61
3021.00,93.57
3020.00,93.54
3019.00,93.51
3018.00,93.48
3017.00,93.45
3016.00,93.43
3015.00,93.42
3014.00,93.40
3013.00,93.38
3012.00,93.36
3011.00,93.34
3010.00,93.33
3009.00,93.31
3008.00,93.30
3007.00,93.30
3006.00,93.29
3005.00,93.28
3004.00,93.28
3003.00,93.28
3002.00,93.28
3001.00,93.28
3000.00,93.28
2999.00,93.29
2998.00,93.29
2997.00,93.30
2996.00,93.31
2995.00,93.31
2994.00,93.30
2993.00,93.28
2992.00,93.24
2991.00,93.18
2990.00,93.11
2989.00,93.05
2988.00,93.02
2987.00,93.01
2986.00,93.05
2985.00,93.11
2984.00,93.18
2983.00,93.25
2982.00,93.30
2981.00,93.32
2980.00,93.33
2979.00,93.33
2978.00,93.32
2977.00,93.32
2976.00,93.32
2975.00,93.33
2974.00,93.34
2973.00,93.35
2972.00,93.35
2971.00,93.36
2970.00,93.36
2969.00,93.36
2968.00,93.36
2967.00,93.36
2966.00,93.37
2965.00,93.36
2964.00,93.33
2963.00,93.28
2962.00,93.21
2961.00,93.11
2960.00,93.00
2959.00,92.92
2958.00,92.86
2957.00,92.83
2956.00,92.83
2955.00,92.85
2954.00,92.86
2953.00,92.85
2952.00,92.84
2951.00,92.81
2950.00,92.78
2949.00,92.76
2948.00,92.73
2947.00,92.71
2946.00,92.69
2945.00,92.68
2944.00,92.66
2943.00,92.65
2942.00,92.64
2941.00,92.63
2940.00,92.63
2939.00,92.62
2938.00,92.61
2937.00,92.61
2936.00,92.60
2935.00,92.59
2934.00,92.57
2933.00,92.56
2932.00,92.56
2931.00,92.58
2930.00,92.61
2929.00,92.64
2928.00,92.66
2927.00,92.69
2926.00,92.71
2925.00,92.74
2924.00,92.76
2923.00,92.78
2922.00,92.80
2921.00,92.82
2920.00,92.84
2919.00,92.85
2918.00,92.86
2917.00,92.87
2916.00,92.89
2915.00,92.90
2914.00,92.92
2913.00,92.92
2912.00,92.93
2911.00,92.93
2910.00,92.94
2909.00,92.94
2908.00,92.95
2907.00,92.96
2906.00,92.96
2905.00,92.96
2904.00,92.96
2903.00,92.96
2902.00,92.96
2901.00,92.96
2900.00,92.97
2899.00,92.98
2898.00,93.00
2897.00,93.01
2896.00,93.02
2895.00,93.02
2894.00,93.02
2893.00,93.01
2892.00,93.00
2891.00,93.00
2890.00,92.99
2889.00,92.97
2888.00,92.95
2887.00,92.94
2886.00,92.93
2885.00,92.92
2884.00,92.92
2883.00,92.91
2882.00,92.90
2881.00,92.88
2880.00,92.87
2879.00,92.85
2878.00,92.84
2877.00,92.83
2876.00,92.83
2875.00,92.83
2874.00,92.83
2873.00,92.83
2872.00,92.82
2871.00,92.82
2870.00,92.81
2869.00,92.80
2868.00,92.80
2867.00,92.79
2866.00,92.78
2865.00,92.77
2864.00,92.76
2863.00,92.75
2862.00,92.75
2861.00,92.74
2860.00,92.73
2859.00,92.73
2858.00,92.73
2857.00,92.72
2856.00,92.73
2855.00,92.73
2854.00,92.74
2853.00,92.75
2852.00,92.76
2851.00,92.77
2850.00,92.78
2849.00,92.79
2848.00,92.79
2847.00,92.79
2846.00,92.79
2845.00,92.80
2844.00,92.80
2843.00,92.81
2842.00,92.81
2841.00,92.82
2840.00,92.83
2839.00,92.83
2838.00,92.82
2837.00,92.83
2836.00,92.83
2835.00,92.84
2834.00,92.85
2833.00,92.85
2832.00,92.85
2831.00,92.85
2830.00,92.86
2829.00,92.87
2828.00,92.88
2827.00,92.90
2826.00,92.91
2825.00,92.92
2824.00,92.93
2823.00,92.95
2822.00,92.96
2821.00,92.97
2820.00,92.98
2819.00,92.99
2818.00,93.01
2817.00,93.03
2816.00,93.05
2815.00,93.06
2814.00,93.08
2813.00,93.10
2812.00,93.12
2811.00,93.14
2810.00,93.16
2809.00,93.18
2808.00,93.19
2807.00,93.21
2806.00,93.22
2805.00,93.24
2804.00,93.25
2803.00,93.27
2802.00,93.28
2801.00,93.29
2800.00,93.30
2799.00,93.31
2798.00,93.32
2797.00,93.33
2796.00,93.33
2795.00,93.33
2794.00,93.33
2793.00,93.34
2792.00,93.34
2791.00,93.35
2790.00,93.35
2789.00,93.35
2788.00,93.35
2787.00,93.35
2786.00,93.36
2785.00,93.36
2784.00,93.36
2783.00,93.36
2782.00,93.36
2781.00,93.36
2780.00,93.35
2779.00,93.35
2778.00,93.35
2777.00,93.35
2776.00,93.34
2775.00,93.34
2774.00,93.35
2773.00,93.35
2772.00,93.36
2771.00,93.37
2770.00,93.39
2769.00,93.41
2768.00,93.44
2767.00,93.46
2766.00,93.49
2765.00,93.51
2764.00,93.53
2763.00,93.56
2762.00,93.58
2761.00,93.60
2760.00,93.62
2759.00,93.64
2758.00,93.65
2757.00,93.66
2756.00,93.66
2755.00,93.67
2754.00,93.66
2753.00,93.66
2752.00,93.65
2751.00,93.64
2750.00,93.63
2749.00,93.61
2748.00,93.59
2747.00,93.57
2746.00,93.54
2745.00,93.50
2744.00,93.47
2743.00,93.44
2742.00,93.40
2741.00,93.37
2740.00,93.34
2739.00,93.30
2738.00,93.26
2737.00,93.23
2736.00,93.19
2735.00,93.16
2734.00,93.13
2733.00,93.11
2732.00,93.08
2731.00,93.06
2730.00,93.03
2729.00,93.01
2728.00,92.99
2727.00,92.97
2726.00,92.96
2725.00,92.94
2724.00,92.93
2723.00,92.91
2722.00,92.90
2721.00,92.88
2720.00,92.87
2719.00,92.86
2718.00,92.86
2717.00,92.87
2716.00,92.87
2715.00,92.87
2714.00,92.88
2713.00,92.88
2712.00,92.88
2711.00,92.89
2710.00,92.90
2709.00,92.91
2708.00,92.93
2707.00,92.94
2706.00,92.96
2705.00,92.97
2704.00,92.98
2703.00,93.00
2702.00,93.02
2701.00,93.05
2700.00,93.07
2699.00,93.08
2698.00,93.10
2697.00,93.11
2696.00,93.12
2695.00,93.13
2694.00,93.14
2693.00,93.16
2692.00,93.18
2691.00,93.20
2690.00,93.22
2689.00,93.25
2688.00,93.27
2687.00,93.30
2686.00,93.32
2685.00,93.34
2684.00,93.37
2683.00,93.39
2682.00,93.40
2681.00,93.42
2680.00,93.43
2679.00,93.44
2678.00,93.46
2677.00,93.47
2676.00,93.47
2675.00,93.48
2674.00,93.49
2673.00,93.49
2672.00,93.49
2671.00,93.50
2670.00,93.50
2669.00,93.51
2668.00,93.51
2667.00,93.50
2666.00,93.50
2665.00,93.49
2664.00,93.47
2663.00,93.45
2662.00,93.43
2661.00,93.39
2660.00,93.36
2659.00,93.31
2658.00,93.26
2657.00,93.22
2656.00,93.18
2655.00,93.14
2654.00,93.10
2653.00,93.06
2652.00,93.03
2651.00,92.99
2650.00,92.95
2649.00,92.92
2648.00,92.89
2647.00,92.86
2646.00,92.84
2645.00,92.82
2644.00,92.80
2643.00,92.80
2642.00,92.80
2641.00,92.81
2640.00,92.81
2639.00,92.80
2638.00,92.79
2637.00,92.77
2636.00,92.76
2635.00,92.75
2634.00,92.73
2633.00,92.73
2632.00,92.72
2631.00,92.72
2630.00,92.71
2629.00,92.71
2628.00,92.70
2627.00,92.68
2626.00,92.66
2625.00,92.65
2624.00,92.63
2623.00,92.62
2622.00,92.61
2621.00,92.59
2620.00,92.58
2619.00,92.57
2618.00,92.56
2617.00,92.57
2616.00,92.57
2615.00,92.58
2614.00,92.58
2613.00,92.58
2612.00,92.59
2611.00,92.59
2610.00,92.60
2609.00,92.62
2608.00,92.63
2607.00,92.65
2606.00,92.67
2605.00,92.68
2604.00,92.70
2603.00,92.72
2602.00,92.75
2601.00,92.77
2600.00,92.80
2599.00,92.83
2598.00,92.86
2597.00,92.89
2596.00,92.92
2595.00,92.95
2594.00,92.98
2593.00,93.01
2592.00,93.04
2591.00,93.07
2590.00,93.10
2589.00,93.12
2588.00,93.14
2587.00,93.16
2586.00,93.18
2585.00,93.22
2584.00,93.25
2583.00,93.28
2582.00,93.31
2581.00,93.34
2580.00,93.37
2579.00,93.39
2578.00,93.42
2577.00,93.44
2576.00,93.46
2575.00,93.49
2574.00,93.51
2573.00,93.52
2572.00,93.54
2571.00,93.57
2570.00,93.59
2569.00,93.62
2568.00,93.64
2567.00,93.65
2566.00,93.66
2565.00,93.67
2564.00,93.68
2563.00,93.70
2562.00,93.72
2561.00,93.74
2560.00,93.76
2559.00,93.77
2558.00,93.78
2557.00,93.78
2556.00,93.79
2555.00,93.79
2554.00,93.78
2553.00,93.77
2552.00,93.76
2551.00,93.75
2550.00,93.75
2549.00,93.74
2548.00,93.74
2547.00,93.73
2546.00,93.73
2545.00,93.73
2544.00,93.74
2543.00,93.76
2542.00,93.78
2541.00,93.81
2540.00,93.83
2539.00,93.86
2538.00,93.88
2537.00,93.91
2536.00,93.94
2535.00,93.97
2534.00,94.01
2533.00,94.04
2532.00,94.07
2531.00,94.10
2530.00,94.14
2529.00,94.16
2528.00,94.18
2527.00,94.20
2526.00,94.22
2525.00,94.25
2524.00,94.27
2523.00,94.31
2522.00,94.34
2521.00,94.35
2520.00,94.36
2519.00,94.36
2518.00,94.37
2517.00,94.39
2516.00,94.41
2515.00,94.43
2514.00,94.45
2513.00,94.47
2512.00,94.48
2511.00,94.50
2510.00,94.53
2509.00,94.56
2508.00,94.58
2507.00,94.61
2506.00,94.62
2505.00,94.63
2504.00,94.64
2503.00,94.64
2502.00,94.65
2501.00,94.66
2500.00,94.67
2499.00,94.67
2498.00,94.67
2497.00,94.67
2496.00,94.68
2495.00,94.69
2494.00,94.70
2493.00,94.71
2492.00,94.72
2491.00,94.73
2490.00,94.76
2489.00,94.78
2488.00,94.80
2487.00,94.82
2486.00,94.85
2485.00,94.88
2484.00,94.90
2483.00,94.93
2482.00,94.96
2481.00,94.98
2480.00,95.01
2479.00,95.03
2478.00,95.05
2477.00,95.07
2476.00,95.08
2475.00,95.09
2474.00,95.11
2473.00,95.13
2472.00,95.16
2471.00,95.18
2470.00,95.20
2469.00,95.21
2468.00,95.22
2467.00,95.24
2466.00,95.26
2465.00,95.28
2464.00,95.31
2463.00,95.32
2462.00,95.34
2461.00,95.35
2460.00,95.36
