x	y
-6.676556312640965	-56283136
-6.676193111557652	-56598528
-6.675829910474334	-38264832
-6.675466709391017	-10354688
-6.6751035083077	8863744
-6.674740307224386	5763072
-6.674377106141069	-15446016
-6.674013905057752	-33411072
-6.673650703974435	-26927104
-6.673287502891121	5001216
-6.672924301807804	39485440
-6.6725611007244865	48242688
-6.672197899641173	22917120
-6.671834698557856	-16384000
-6.671471497474538	-38604800
-6.671108296391221	-29822976
-6.6707450953079075	-5767168
-6.67038189422459	3641344
-6.670018693141273	-16678912
-6.669655492057956	-51720192
-6.669292290974642	-69296128
-6.668929089891325	-49070080
-6.668565888808008	-819200
-6.668202687724694	44011520
-6.667839486641377	58454016
-6.66747628555806	39997440
-6.667113084474742	8351744
-6.666749883391429	-13611008
-6.6663866823081115	-17006592
-6.666023481224794	-8642560
-6.665660280141477	-262144
-6.665297079058163	1703936
-6.664933877974846	-2396160
-6.664570676891529	-10280960
-6.664207475808215	-20418560
-6.663844274724898	-29786112
-6.663481073641581	-31662080
-6.663117872558264	-18972672
-6.66275467147495	8179712
-6.662391470391633	38887424
-6.6620282693083155	57110528
-6.661665068224998	53329920
-6.661301867141685	31944704
-6.660938666058367	7794688
-6.66057546497505	-5201920
-6.6602122638917365	-3260416
-6.659849062808419	7528448
-6.659485861725102	19116032
-6.659122660641785	28626944
-6.658759459558471	38400000
-6.658396258475154	50212864
-6.658033057391837	60755968
-6.657669856308523	63451136
-6.657306655225206	55156736
-6.656943454141889	40591360
-6.656580253058571	29593600
-6.656217051975258	29011968
-6.6558538508919405	36532224
-6.655490649808623	42602496
-6.655127448725306	39231488
-6.654764247641992	27828224
-6.654401046558675	18567168
-6.654037845475358	21139456
-6.653674644392044	35020800
-6.653311443308727	48537600
-6.65294824222541	48328704
-6.652585041142093	31088640
-6.652221840058779	6742016
-6.651858638975462	-10010624
-6.6514954378921445	-12177408
-6.651132236808827	-5304320
-6.650769035725514	-626688
-6.650405834642196	-3928064
-6.650042633558879	-11534336
-6.6496794324755655	-16879616
-6.649316231392248	-19664896
-6.648953030308931	-26611712
-6.648589829225614	-42184704
-6.6482266281423	-59633664
-6.647863427058983	-63815680
-6.647500225975666	-45232128
-6.6471370248923485	-11677696
-6.646773823809035	15769600
-6.646410622725718	20684800
-6.6460474216424	6369280
-6.645684220559087	-7299072
-6.6453210194757695	-3264512
-6.644957818392452	15736832
-6.644594617309135	29757440
-6.644231416225821	21733376
-6.643868215142504	-4567040
